partnerid,status,avg_spiky_ReAgCnIpCi,std_spiky_ReAgCnIpCi,night_avg_spiky_ReAgCnIpCi,night_std_spiky_ReAgCnIpCi,morning_avg_spiky_ReAgCnIpCi,morning_std_spiky_ReAgCnIpCi,afternoon_avg_spiky_ReAgCnIpCi,afternoon_std_spiky_ReAgCnIpCi,evening_avg_spiky_ReAgCnIpCi,evening_std_spiky_ReAgCnIpCi,avg_spiky_ReAgCnIp,std_spiky_ReAgCnIp,avg_spiky_ReAgCn,std_spiky_ReAgCn,avg_spiky_iplong,std_spiky_iplong,avg_spiky_agent,std_spiky_agent,night_avg_spiky_agent,night_std_spiky_agent,morning_avg_spiky_agent,morning_std_spiky_agent,afternoon_avg_spiky_agent,afternoon_std_spiky_agent,evening_avg_spiky_agent,evening_std_spiky_agent,avg_spiky_cid,std_spiky_cid,avg_spiky_cntr,std_spiky_cntr,avg_spiky_referer,std_spiky_referer,night_avg_spiky_referer,night_std_spiky_referer,morning_avg_spiky_referer,morning_std_spiky_referer,afternoon_avg_spiky_referer,afternoon_std_spiky_referer,evening_avg_spiky_referer,evening_std_spiky_referer,category_es,category_mc,category_ad,category_co,category_se,category_mg,category_pp,category_in,category_gd,category_ow,total_clicks,distinct_iplong,distinct_agent,distinct_cid,distinct_cntr,distinct_referer,night_click_percent,morning_click_percent,afternoon_click_percent,evening_click_percent,night_referer_percent,morning_referer_percent,afternoon_referer_percent,evening_referer_percent,night_agent_percent,morning_agent_percent,afternoon_agent_percent,evening_agent_percent,avg_total_clicks,std_total_clicks,avg_distinct_iplong,std_distinct_iplong,avg_distinct_agent,std_distinct_agent,avg_distinct_cid,std_distinct_cid,avg_distinct_cntr,std_distinct_cntr,avg_distinct_referer,std_distinct_referer,avg_null_agent,std_null_agent,avg_null_referer,std_null_referer,night_avg_null_referer,night_std_null_referer,morning_avg_null_referer,morning_std_null_referer,afternoon_avg_null_referer,afternoon_std_null_referer,evening_avg_null_referer,evening_std_null_referer,first_15_minute_percent,second_15_minute_percent,third_15_minute_percent,last_15_minute_percent,brand_MAUI_percent,brand_Nokia_percent,brand_Generic_percent,brand_Apple_percent,brand_Blackberry_percent,brand_Samsung_percent,brand_SonyEricsson_percent,brand_LG_percent,brand_other_percent,avg_per_hour_density,std_per_hour_density,cntr_az_percent,cntr_id_percent,cntr_in_percent,cntr_us_percent,cntr_ng_percent,cntr_tr_percent,cntr_ru_percent,cntr_th_percent,cntr_sg_percent,cntr_uk_percent,cntr_other_percent
8i7uk,0,1.22,0.88,1.12,0.43,1.25,0.56,1.57,1.8,1.1,0.29,1.26,0.9,1.27,0.91,1.22,0.66,1.26,0.77,1.08,0.27,1.25,0.43,1.69,1.59,1.21,0.41,1.13,0.44,1.41,0.95,1.45,1.03,1.33,0.64,1.33,0.6,2,2,1.35,0.59,0,1,0,0,0,0,0,0,0,0,93,76,57,60,30,34,0.3,0.22,0.24,0.25,0.41,0.29,0.18,0.32,0.44,0.23,0.23,0.33,31,13.06,25.33,9.53,22,6.16,24.33,7.76,14,3.74,13,2.83,0,0,8.33,4.99,2,1.41,2.67,0.94,4.5,2.5,2,0,0.27,0.22,0.35,0.16,0.06,0.01,0.03,0,0,0.01,0.01,0.01,0.02,15,2.16,0.01,0.01,0.25,0.06,0.09,0.05,0.01,0,0,0.02,0.02
8i7ux,0,1.33,1.86,1.66,3.02,1.22,0.96,1.13,0.56,1.15,0.49,1.37,1.9,1.39,1.91,1.16,0.48,1.46,1.45,1.63,2.17,1.27,0.65,1.41,0.7,1.35,0.63,1.47,1.39,2.96,4.83,1.54,2.05,1.86,3.21,1.32,1.01,1.5,0.96,1.29,0.64,0,1,0,0,0,0,0,0,0,0,246,157,93,78,19,104,0.43,0.13,0.18,0.25,0.42,0.15,0.19,0.35,0.48,0.26,0.28,0.37,82,11.05,62.67,4.5,41,5.72,38,8.04,11.33,0.94,37.67,6.24,0,0,26,8.04,16,8.6,2.67,0.47,4,1,4.67,1.7,0.27,0.25,0.28,0.2,0.21,0,0.01,0,0.02,0.01,0.01,0,0,20.67,0.47,0,0.39,0.06,0,0,0,0,0,0.02,0,0
8i7va,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.14,0.35,1.33,0.47,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,8,8,8,8,4,3,0.5,0.13,0.25,0.13,0.67,0,0.33,0.33,0.5,0.13,0.25,0.13,2.67,0.94,2.67,0.94,2.67,0.94,2.67,0.94,1.67,0.47,1.67,0.94,0,0,1,0,0,0,1,0,0,0,0,0,0.13,0.13,0.5,0.25,0.13,0.13,0,0,0,0,0.13,0,0,2.67,0.94,0,0,0.63,0,0,0,0,0,0,0,0.13
8i7vb,0,1.22,0.42,1.33,0.47,1,0,0,0,1.25,0.43,1.22,0.42,1.22,0.42,1.22,0.42,1.22,0.42,1.33,0.47,1,0,0,0,1.25,0.43,1.1,0.3,1.22,0.42,1.22,0.42,1.33,0.47,1,0,0,0,1.25,0.43,0,0,1,0,0,0,0,0,0,0,11,9,8,10,3,3,0.36,0.18,0,0.45,0,0.33,0,1,0.38,0.25,0,0.5,5.5,2.5,4.5,2.5,4.5,2.5,5,3,2,1,1.5,0.5,0,0,3,2,4,0,1,0,0,0,1,0,0.09,0.09,0.09,0.73,0,0.09,0,0,0,0.18,0,0,0.18,4.5,2.5,0,0,0.73,0.09,0.18,0,0,0,0,0,0
8i7vf,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8i7vp,0,1.48,11.83,1.49,13.12,1.47,4.43,1.31,1.63,1.46,2.56,1.52,12,1.74,12.9,3.33,7.4,3.39,9.85,4.68,12.64,1.85,2.4,1.38,0.89,1.39,1.04,10.64,18.26,24.85,127.53,2.09,15.6,2.25,17.89,1.71,4.95,1.42,1.73,1.65,2.79,0,0,0,1,0,0,0,0,0,0,4001,449,416,130,29,1817,0.81,0.09,0.05,0.05,0.76,0.11,0.07,0.06,0.81,0.33,0.25,0.23,1333.67,943.09,226,159.6,199,140.62,60.33,42.46,15,9.9,612,433.44,0,0,434,307.19,353,250.03,59.5,7.5,27,18,35,34,0.25,0.28,0.23,0.24,0.08,0,0.1,0,0,0,0,0,0,13.67,9.53,0,0,0.01,0,0.73,0,0,0,0,0,0
8i7vq,0,1.54,4.48,1.67,5.31,1.52,4.34,1.32,2.36,1.62,5.11,1.56,4.51,1.57,4.52,1.8,2.44,1.8,2.39,1.88,2.48,1.9,2.9,1.62,1.61,1.77,2.29,2.61,2.93,7.28,14.75,1.69,4.74,1.85,5.61,1.74,4.71,1.39,2.44,1.78,5.39,0,0,0,1,0,0,0,0,0,0,1922,593,351,170,49,1053,0.3,0.26,0.2,0.24,0.29,0.26,0.25,0.23,0.52,0.48,0.42,0.44,640.67,369.77,229,115.78,170,82.22,87,27.86,28,8.04,355.33,190.97,0,0,229.67,146.14,79.33,54.02,58.67,38.79,32.67,21.48,59,37.48,0.24,0.25,0.22,0.29,0.16,0,0.08,0.01,0,0,0,0,0,23.67,0.47,0,0,0.01,0.01,0.17,0,0,0,0,0,0
8i7vz,0,1.25,1.15,1.24,1.34,1.23,0.79,1.21,0.69,1.39,1.16,1.25,1.15,1.28,1.17,1.06,0.33,1.24,0.62,1.35,0.7,1.06,0.23,1.17,0.5,1.16,0.64,1.45,1.51,3.9,5.76,1.72,1.69,1.94,2.15,1.65,1.17,1.54,0.94,1.43,1.18,0,0,0,0,1,0,0,0,0,0,324,286,131,116,27,74,0.53,0.12,0.19,0.15,0.7,0.19,0.3,0.28,0.63,0.24,0.34,0.26,108,7.26,102,8.04,63.33,8.34,58,6.16,14,4.08,34.67,2.87,0,0,28.33,4.03,12.67,5.31,3.33,0.94,5.67,3.3,6.67,2.62,0.23,0.29,0.23,0.25,0.06,0.02,0.02,0,0,0,0.01,0,0,22.67,0.47,0.01,0.34,0.49,0,0.02,0.03,0.01,0,0,0,0
8i7w2,0,1.53,1.72,1.85,2.4,1.17,0.55,1.35,0.91,1.2,0.4,1.55,1.73,1.57,1.74,1.23,0.74,1.38,1.37,1.75,2.01,1,0,1.23,0.42,1,0,1.29,1.01,2.58,3.23,1.57,1.74,1.97,2.46,1.17,0.55,1.35,0.91,1.2,0.4,0,0,1,0,0,0,0,0,0,0,116,50,41,43,9,42,0.54,0.12,0.23,0.1,0.52,0.17,0.31,0.17,0.56,0.22,0.39,0.27,38.67,10.27,24.33,6.34,18.33,2.62,18.67,2.36,5.67,1.25,16,2.94,0,0,19,8.83,11.33,3.86,2.5,0.5,6.5,5.5,2.5,0.5,0.21,0.32,0.21,0.27,0.04,0.01,0.02,0,0.01,0.01,0.01,0,0.28,17,2.16,0,0.79,0,0.02,0,0,0,0.03,0,0.02,0.03
8i7wb,0,1.15,0.68,1.17,0.77,1.06,0.24,1.06,0.3,1.29,0.93,1.19,0.73,1.22,0.79,1.16,0.51,1.31,0.7,1.38,0.87,1.29,0.52,1.22,0.59,1.26,0.49,1.24,0.62,2.45,2.64,1.3,0.88,1.48,1.12,1.06,0.24,1.1,0.36,1.38,1.03,0,1,0,0,0,0,0,0,0,0,269,200,118,131,30,132,0.46,0.13,0.21,0.2,0.53,0.22,0.3,0.23,0.56,0.21,0.31,0.32,89.67,5.44,71.33,5.31,52.67,2.05,61.67,6.13,17.33,1.7,55.33,5.31,0,0,14.67,1.25,6.67,0.94,1.67,0.94,1.67,0.94,4.67,1.25,0.2,0.21,0.29,0.3,0.03,0,0.01,0,0,0,0,0.01,0.02,21.33,1.25,0.01,0.25,0.35,0.01,0.01,0.09,0,0.02,0.01,0,0.01
