"partnerid","AgentClickRatio","AgentVariance","MaxSameCidCount","NoOfUniqueCid","CidClickRatio","CidVariance","status"
"8i7uk","0.61","1.46","5","60","0.65","1.01","OK"
"8i7ux","0.38","30.96","23","78","0.32","21.90","OK"
"8i7va","1.00","0.00","1","8","1.00","0.00","OK"
"8i7vb","0.73","0.23","2","10","0.91","0.09","OK"
"8i7vf","0.50","0.00","1","2","1.00","0.00","OK"
"8i7vp","0.10","1185.01","275","130","0.03","3767.23","OK"
"8i7vq","0.18","376.11","167","170","0.09","602.71","OK"
"8i7vz","0.40","9.73","30","116","0.36","19.51","OK"
"8i7w2","0.35","27.17","22","43","0.37","12.02","OK"
"8i7wb","0.44","5.83","12","131","0.49","4.07","OK"
"8i7wi","0.11","335.78","1288","107","0.07","15313.31","OK"
"8i7wr","0.09","903.32","298","53","0.04","2217.80","OK"
"8i7wv","0.15","345.53","13","47","0.28","11.57","OK"
"8i7xd","0.27","55.60","28","67","0.19","55.01","Observation"
"8i7yy","0.33","0.00","2","2","0.67","0.25","OK"
"8i7z7","0.40","27.63","10","25","0.31","5.44","OK"
"8i7zf","1.00","0.00","1","3","1.00","0.00","OK"
"8i7zk","0.10","509.82","129","131","0.11","445.57","OK"
"8i7zl","0.07","1525.42","391","69","0.04","2839.13","OK"
"8i804","0.64","1.14","5","13","0.46","1.82","OK"
"8i806","0.25","71.93","185","148","0.18","275.40","OK"
"8i80a","0.28","32.52","41","203","0.27","26.12","OK"
"8i80j","0.50","0.00","1","2","1.00","0.00","OK"
"8i81d","0.86","0.14","2","13","0.93","0.07","OK"
"8i81i","0.70","0.53","3","8","0.80","0.44","OK"
"8i828","0.08","1500.70","347","268","0.08","1770.90","OK"
"8i82g","0.79","0.38","2","13","0.93","0.07","OK"
"8i82r","0.83","0.16","2","4","0.67","0.25","OK"
"8i82x","1.00","0.00","1","3","1.00","0.00","OK"
"8i830","0.50","0.00","1","2","1.00","0.00","OK"
"8i833","0.52","5.36","6","28","0.67","1.25","OK"
"8i83a","1.00","0.00","1","2","1.00","0.00","OK"
"8i83y","1.00","0.00","1","1","1.00","0.00","OK"
"8i84n","0.53","1.21","3","12","0.71","0.41","OK"
"8i84o","0.74","0.46","3","18","0.78","0.31","OK"
"8i84w","1.00","0.00","1","1","1.00","0.00","OK"
"8i85v","0.24","155.63","13","54","0.43","6.85","OK"
"8i86i","1.00","0.00","1","1","1.00","0.00","OK"
"8i88w","0.16","85.11","8","22","0.45","4.27","OK"
"8i89m","0.75","0.22","2","3","0.75","0.22","OK"
"8i8ar","0.36","4.96","2","12","0.86","0.14","OK"
"8i8bx","0.70","0.76","5","49","0.67","0.74","OK"
"8i8cj","1.00","0.00","1","1","1.00","0.00","OK"
"8i8do","0.50","0.00","1","2","1.00","0.00","OK"
"8i8e5","0.13","37.36","11","24","0.36","6.83","OK"
"8i8e7","1.00","0.00","1","1","1.00","0.00","OK"
"8i8ef","0.22","6.25","3","7","0.78","0.49","OK"
"8i8en","0.33","0.00","1","3","1.00","0.00","OK"
"8i8fk","0.39","4.24","3","20","0.65","0.45","OK"
"8i8fm","0.06","647.47","46","63","0.23","83.19","Observation"
"8i8fn","0.32","7.65","4","19","0.68","0.67","OK"
"8i8fq","0.15","44.43","11","30","0.42","4.10","OK"
"8i8ft","0.31","5.73","4","17","0.59","1.15","OK"
"8i8g3","1.00","0.00","1","2","1.00","0.00","OK"
"8i8go","0.03","946.36","45","57","0.17","92.42","Observation"
"8i8gu","1.00","0.00","1","1","1.00","0.00","OK"
"8i8gx","1.00","0.00","1","1","1.00","0.00","OK"
"8i8gz","1.00","0.00","1","1","1.00","0.00","OK"
