"partnerid","AvgClickPer1Min","status"
"8i7uk","1.12","OK"
"8i7ux","1.09","OK"
"8i7va","1.00","OK"
"8i7vb","1.10","OK"
"8i7vf","2.00","OK"
"8i7vp","3.80","OK"
"8i7vq","1.45","OK"
"8i7vz","1.10","OK"
"8i7w2","1.08","OK"
"8i7wb","1.10","OK"
"8i7wi","1.23","OK"
"8i7wr","1.22","OK"
"8i7wv","1.07","OK"
"8i7xd","1.57","Observation"
"8i7yy","1.00","OK"
"8i7z7","1.03","OK"
"8i7zf","1.00","OK"
"8i7zk","1.20","OK"
"8i7zl","1.32","OK"
"8i804","1.17","OK"
"8i806","1.18","OK"
"8i80a","1.14","OK"
"8i80j","1.00","OK"
"8i81d","1.17","OK"
"8i81i","1.00","OK"
"8i828","1.91","OK"
"8i82g","1.00","OK"
"8i82r","1.00","OK"
"8i82x","1.00","OK"
"8i830","1.00","OK"
"8i833","1.02","OK"
"8i83a","1.00","OK"
"8i83y","1.00","OK"
"8i84n","1.00","OK"
"8i84o","1.00","OK"
"8i84w","1.00","OK"
"8i85v","1.04","OK"
"8i86i","1.00","OK"
"8i88w","1.04","OK"
"8i89m","1.33","OK"
"8i8ar","1.00","OK"
"8i8bx","1.01","OK"
"8i8cj","1.00","OK"
"8i8do","1.00","OK"
"8i8e5","1.16","OK"
"8i8e7","1.00","OK"
"8i8ef","1.00","OK"
"8i8en","1.00","OK"
"8i8fk","1.11","OK"
"8i8fm","1.08","Observation"
"8i8fn","1.12","OK"
"8i8fq","1.18","OK"
"8i8ft","1.04","OK"
"8i8g3","1.00","OK"
"8i8go","1.21","Observation"
"8i8gu","1.00","OK"
"8i8gx","1.00","OK"
"8i8gz","1.00","OK"
"8i8h2","1.00","OK"
"8i8h7","1.31","Fraud"
"8i8hw","1.00","OK"
"8i8ih","1.00","OK"
"8i8is","1.08","OK"
"8i8iv","1.11","OK"
"8i8j2","1.02","OK"
"8i8jl","1.00","OK"
"8i8k3","1.00","OK"
"8i8kg","1.00","OK"
"8i8ku","1.00","OK"
"8i8le","1.00","OK"
"8i8lx","1.00","OK"
"8i8m6","1.10","OK"
"8i8mq","1.00","OK"
"8i8mr","1.00","OK"
"8i8n6","1.00","OK"
"8i8no","1.09","OK"
"8i8nq","1.00","OK"
"8i8nr","1.20","OK"
"8i8oh","1.00","OK"
"8i8p1","1.00","OK"
"8i8pz","1.00","OK"
"8i8q4","1.12","OK"
"8i8qk","1.00","OK"
"8i8qn","1.00","OK"
"8i8rs","1.00","OK"
"8i8s9","1.00","OK"
"8i8t2","1.00","OK"
"8i8tt","1.02","Observation"
"8i8tw","1.00","OK"
"8i8u1","1.00","OK"
"8i8u7","1.00","OK"
"8i8u8","1.12","OK"
"8i8ub","1.04","OK"
"8i8ui","1.00","OK"
"8i8wd","1.00","OK"
"8i8xq","1.00","OK"
"8i8ye","1.82","OK"
"8i8yi","1.20","OK"
"8i8yn","1.10","OK"
"8i8yu","1.09","OK"
"8i8z4","1.06","OK"
"8i8zd","1.00","OK"
"8i8ze","1.03","OK"
"8i8zi","1.06","OK"
"8i903","1.07","OK"
"8i90i","1.00","OK"
"8i90k","1.32","Fraud"
"8i90m","1.17","OK"
"8i91i","2.51","OK"
"8i922","3.86","OK"
"8i92t","2.85","OK"
"8i92u","1.00","OK"
"8i930","1.11","Observation"
"8i932","1.00","OK"
"8i936","1.17","OK"
"8i93o","1.00","OK"
"8i93q","1.08","OK"
"8i941","1.03","OK"
"8i949","1.09","OK"
"8i94e","1.00","OK"
"8i94n","1.00","OK"
"8i94y","1.06","OK"
"8i95z","1.01","OK"
"8i969","1.11","OK"
"8i96u","1.01","OK"
"8i96x","1.08","OK"
"8i98h","1.25","OK"
"8i99h","1.00","OK"
"8i9a2","1.00","OK"
"8i9at","1.00","OK"
"8i9aw","1.12","OK"
"8i9b4","1.00","OK"
"8i9bj","1.07","OK"
"8i9bm","1.16","OK"
"8i9bs","1.00","OK"
"8i9bw","1.14","OK"
"8i9bx","1.08","OK"
"8i9cn","1.05","OK"
"8i9co","1.04","OK"
"8i9cr","1.04","OK"
"8i9d0","1.25","OK"
"8i9d1","1.00","OK"
"8i9d5","1.04","OK"
"8i9da","1.19","OK"
"8i9db","1.00","OK"
"8i9dg","1.00","OK"
"8i9dp","1.00","OK"
"8i9dv","1.14","OK"
"8i9e1","1.00","OK"
"8i9e9","1.09","OK"
"8i9ed","1.00","OK"
"8i9eg","1.00","OK"
"8i9eq","1.00","OK"
"8i9f0","1.00","OK"
"8i9fl","1.00","OK"
"8i9fv","1.00","OK"
"8i9g2","1.02","OK"
"8i9gl","1.00","OK"
"8i9h8","1.00","OK"
"8i9hj","1.00","OK"
"8i9hm","1.04","OK"
"8i9hn","1.04","OK"
"8i9ht","1.19","OK"
"8i9hu","1.38","OK"
"8i9hw","1.00","OK"
"8i9hx","1.42","OK"
"8i9hz","1.00","OK"
"8i9i1","1.49","OK"
"8i9i3","1.84","OK"
"8i9i4","1.04","OK"
"8i9i5","1.23","Observation"
"8i9i7","1.04","OK"
"8i9i9","1.12","OK"
"8i9ia","1.36","OK"
