"partnerid","AvgClickPer5Min","AvgClickPer3Hr","AvgClickPer6Hr","status"
"8i7uk","1.21","4.04","7.15","OK"
"8i7ux","1.34","9.84","18.92","OK"
"8i7va","1.00","1.00","1.14","OK"
"8i7vb","1.10","1.83","2.20","OK"
"8i7vf","2.00","2.00","2.00","OK"
"8i7vp","10.26","250.06","444.56","OK"
"8i7vq","3.33","76.88","147.85","OK"
"8i7vz","1.39","12.96","24.92","OK"
"8i7w2","1.27","5.27","8.92","OK"
"8i7wb","1.35","10.76","20.69","OK"
"8i7wi","2.25","62.58","125.17","OK"
"8i7wr","2.18","54.08","104.00","OK"
"8i7wv","1.31","6.60","12.69","OK"
"8i7xd","3.13","18.95","30.00","Observation"
"8i7yy","1.00","1.00","1.00","OK"
"8i7z7","1.13","4.71","7.27","OK"
"8i7zf","1.00","1.00","1.00","OK"
"8i7zk","2.00","47.08","90.54","OK"
"8i7zl","2.68","63.56","122.23","OK"
"8i804","1.17","2.33","2.80","OK"
"8i806","1.81","33.80","65.00","OK"
"8i80a","1.65","30.28","58.23","OK"
"8i80j","1.00","1.00","1.00","OK"
"8i81d","1.17","1.56","2.33","OK"
"8i81i","1.00","1.25","1.25","OK"
"8i828","4.50","136.68","262.85","OK"
"8i82g","1.08","1.27","2.00","OK"
"8i82r","1.00","1.20","1.20","OK"
"8i82x","1.00","1.50","3.00","OK"
"8i830","1.00","2.00","2.00","OK"
"8i833","1.08","2.63","3.82","OK"
"8i83a","1.00","2.00","2.00","OK"
"8i83y","1.00","1.00","1.00","OK"
"8i84n","1.00","1.70","2.13","OK"
"8i84o","1.05","1.77","2.30","OK"
"8i84w","1.00","1.00","1.00","OK"
"8i85v","1.19","5.48","10.50","OK"
"8i86i","1.00","1.00","1.00","OK"
"8i88w","1.04","2.88","4.90","OK"
"8i89m","1.33","1.33","1.33","OK"
"8i8ar","1.08","1.40","2.00","OK"
"8i8bx","1.07","3.17","6.08","OK"
"8i8cj","1.00","1.00","1.00","OK"
"8i8do","1.00","1.00","1.00","OK"
"8i8e5","1.34","2.91","5.15","OK"
"8i8e7","1.00","1.00","1.00","OK"
"8i8ef","1.00","1.50","1.80","OK"
"8i8en","1.00","1.00","1.00","OK"
"8i8fk","1.15","1.72","2.58","OK"
"8i8fm","1.30","12.27","22.50","Observation"
"8i8fn","1.17","2.33","2.80","OK"
