"partnerid","CntrVariance","status"
"8i7uk","18.82","OK"
"8i7ux","717.73","OK"
"8i7va","3.00","OK"
"8i7vb","9.56","OK"
"8i7vf","0.00","OK"
"8i7vp","299696.52","OK"
"8i7vq","20381.07","OK"
"8i7vz","1237.56","OK"
"8i7w2","787.43","OK"
"8i7wb","395.30","OK"
"8i7wi","68388.39","OK"
"8i7wr","337349.50","OK"
"8i7wv","5832.00","OK"
"8i7xd","13883.67","Observation"
"8i7yy","0.00","OK"
"8i7z7","1266.89","OK"
"8i7zf","0.25","OK"
"8i7zk","115465.41","OK"
"8i7zl","346459.47","OK"
"8i804","3.51","OK"
"8i806","6074.35","OK"
"8i80a","3744.97","OK"
"8i80j","0.00","OK"
"8i81d","36.00","OK"
"8i81i","2.25","OK"
"8i828","317924.94","OK"
"8i82g","12.96","OK"
"8i82r","0.00","OK"
"8i82x","0.25","OK"
"8i830","0.00","OK"
"8i833","266.00","OK"
"8i83a","0.00","OK"
"8i83y","0.00","OK"
"8i84n","0.00","OK"
"8i84o","51.84","OK"
"8i84w","0.00","OK"
"8i85v","800.33","OK"
"8i86i","0.00","OK"
"8i88w","67.80","OK"
"8i89m","0.00","OK"
"8i8ar","1.71","OK"
"8i8bx","26.83","OK"
"8i8cj","0.00","OK"
"8i8do","0.00","OK"
"8i8e5","384.69","OK"
"8i8e7","0.00","OK"
"8i8ef","0.00","OK"
"8i8en","0.00","OK"
"8i8fk","4.81","OK"
"8i8fm","1609.16","Observation"
"8i8fn","12.00","OK"
"8i8fq","171.14","OK"
"8i8ft","38.96","OK"
"8i8g3","0.00","OK"
"8i8go","5554.67","Observation"
"8i8gu","0.00","OK"
"8i8gx","0.00","OK"
"8i8gz","0.00","OK"
"8i8h2","0.00","OK"
"8i8h7","22597.56","Fraud"
"8i8hw","0.00","OK"
"8i8ih","0.00","OK"
"8i8is","2012.55","OK"
"8i8iv","21.00","OK"
"8i8j2","224.78","OK"
"8i8jl","0.25","OK"
"8i8k3","9.56","OK"
"8i8kg","0.00","OK"
"8i8ku","0.00","OK"
"8i8le","1.35","OK"
"8i8lx","0.00","OK"
"8i8m6","5153.46","OK"
"8i8mq","0.00","OK"
"8i8mr","0.00","OK"
"8i8n6","0.00","OK"
"8i8no","676.00","OK"
"8i8nq","0.00","OK"
"8i8nr","34527.34","OK"
"8i8oh","0.00","OK"
"8i8p1","0.00","OK"
"8i8pz","0.00","OK"
"8i8q4","306.25","OK"
"8i8qk","0.89","OK"
"8i8qn","0.00","OK"
"8i8rs","0.00","OK"
"8i8s9","0.00","OK"
"8i8t2","0.00","OK"
"8i8tt","768.69","Observation"
"8i8tw","0.00","OK"
"8i8u1","0.25","OK"
"8i8u7","0.00","OK"
"8i8u8","1024.00","OK"
"8i8ub","0.00","OK"
"8i8ui","0.56","OK"
"8i8wd","6.25","OK"
"8i8xq","1722.95","OK"
"8i8ye","93018.38","OK"
"8i8yi","4.67","OK"
"8i8yn","32.97","OK"
"8i8yu","0.00","OK"
"8i8z4","1258.31","OK"
"8i8zd","0.00","OK"
"8i8ze","225.05","OK"
"8i8zi","5.04","OK"
"8i903","57.76","OK"
"8i90i","0.00","OK"
"8i90k","74774.52","Fraud"
"8i90m","5819.31","OK"
"8i91i","35387.97","OK"
"8i922","112935.47","OK"
"8i92t","31801.31","OK"
"8i92u","0.00","OK"
"8i930","10170.04","Observation"
"8i932","2.25","OK"
"8i936","2664.35","OK"
"8i93o","12.69","OK"
"8i93q","761.43","OK"
"8i941","276.08","OK"
"8i949","577.63","OK"
