"partnerid","IpVariance","status"
"8i7uk","19.48","OK"
"8i7ux","283.73","OK"
"8i7va","0.12","OK"
"8i7vb","0.23","OK"
"8i7vf","0.00","OK"
"8i7vp","4881.50","OK"
"8i7vq","5423.30","OK"
"8i7vz","72.29","OK"
"8i7w2","12.54","OK"
"8i7wb","96.06","OK"
"8i7wi","248.08","OK"
"8i7wr","40.87","OK"
"8i7wv","4.58","OK"
"8i7xd","52.28","Observation"
"8i7yy","0.00","OK"
"8i7z7","3.06","OK"
"8i7zf","0.25","OK"
"8i7zk","46.59","OK"
"8i7zl","61.09","OK"
"8i804","7.21","OK"
"8i806","172.02","OK"
"8i80a","290.83","OK"
"8i80j","0.00","OK"
"8i81d","1.44","OK"
"8i81i","0.44","OK"
"8i828","3064.24","OK"
"8i82g","4.29","OK"
"8i82r","0.25","OK"
"8i82x","0.00","OK"
"8i830","0.00","OK"
"8i833","1.42","OK"
"8i83a","0.00","OK"
"8i83y","0.00","OK"
"8i84n","0.12","OK"
"8i84o","1.40","OK"
"8i84w","0.00","OK"
"8i85v","11.96","OK"
"8i86i","0.00","OK"
"8i88w","1.06","OK"
"8i89m","0.22","OK"
"8i8ar","2.86","OK"
"8i8bx","14.47","OK"
"8i8cj","0.00","OK"
"8i8do","0.00","OK"
"8i8e5","183.05","OK"
"8i8e7","0.00","OK"
"8i8ef","0.11","OK"
"8i8en","0.25","OK"
"8i8fk","11.17","OK"
"8i8fm","166.16","Observation"
"8i8fn","4.69","OK"
"8i8fq","74.56","OK"
"8i8ft","4.49","OK"
"8i8g3","0.00","OK"
"8i8go","1828.46","Observation"
"8i8gu","0.00","OK"
"8i8gx","0.00","OK"
"8i8gz","0.00","OK"
"8i8h2","0.00","OK"
"8i8h7","680.93","Fraud"
"8i8hw","0.64","OK"
"8i8ih","0.00","OK"
"8i8is","33.85","OK"
"8i8iv","17.64","OK"
"8i8j2","1.20","OK"
"8i8jl","0.00","OK"
"8i8k3","0.48","OK"
"8i8kg","0.00","OK"
"8i8ku","0.00","OK"
"8i8le","5.63","OK"
"8i8lx","0.00","OK"
"8i8m6","149.09","OK"
"8i8mq","0.00","OK"
"8i8mr","0.00","OK"
"8i8n6","0.20","OK"
"8i8no","5.94","OK"
"8i8nq","0.00","OK"
"8i8nr","211.03","OK"
"8i8oh","0.00","OK"
"8i8p1","0.52","OK"
"8i8pz","0.00","OK"
"8i8q4","1.53","OK"
"8i8qk","0.19","OK"
"8i8qn","0.00","OK"
"8i8rs","0.00","OK"
"8i8s9","0.00","OK"
"8i8t2","0.00","OK"
"8i8tt","196.29","Observation"
"8i8tw","0.00","OK"
"8i8u1","0.00","OK"
"8i8u7","0.00","OK"
"8i8u8","10.27","OK"
"8i8ub","2.71","OK"
"8i8ui","0.56","OK"
"8i8wd","2.25","OK"
"8i8xq","266.29","OK"
"8i8ye","745.51","OK"
"8i8yi","0.22","OK"
"8i8yn","2.77","OK"
"8i8yu","2.15","OK"
"8i8z4","53.01","OK"
"8i8zd","0.00","OK"
"8i8ze","8.58","OK"
"8i8zi","0.79","OK"
"8i903","129.96","OK"
"8i90i","0.00","OK"
"8i90k","316.76","Fraud"
"8i90m","133.12","OK"
"8i91i","5417.30","OK"
"8i922","8658.12","OK"
"8i92t","9232.39","OK"
"8i92u","0.00","OK"
"8i930","70.83","Observation"
"8i932","0.00","OK"
"8i936","231.23","OK"
"8i93o","3.24","OK"
"8i93q","47.02","OK"
"8i941","21.73","OK"
"8i949","122.70","OK"
"8i94e","0.00","OK"
"8i94n","0.00","OK"
"8i94y","149.74","OK"
"8i95z","8.74","OK"
"8i969","115.95","OK"
"8i96u","33.21","OK"
"8i96x","2.47","OK"
"8i98h","0.89","OK"
"8i99h","0.96","OK"
"8i9a2","0.00","OK"
"8i9at","0.85","OK"
"8i9aw","168.31","OK"
"8i9b4","0.16","OK"
"8i9bj","0.27","OK"
"8i9bm","51.59","OK"
"8i9bs","0.00","OK"
"8i9bw","3.54","OK"
"8i9bx","1.58","OK"
"8i9cn","14.06","OK"
"8i9co","1.13","OK"
"8i9cr","0.78","OK"
"8i9d0","0.22","OK"
"8i9d1","0.00","OK"
"8i9d5","3.28","OK"
"8i9da","43.68","OK"
"8i9db","0.00","OK"
"8i9dg","0.00","OK"
"8i9dp","0.00","OK"
"8i9dv","15.01","OK"
"8i9e1","0.00","OK"
"8i9e9","52.89","OK"
"8i9ed","0.00","OK"
"8i9eg","0.00","OK"
"8i9eq","0.00","OK"
"8i9f0","0.00","OK"
"8i9fl","0.89","OK"
"8i9fv","0.00","OK"
"8i9g2","6.51","OK"
"8i9gl","0.00","OK"
"8i9h8","0.00","OK"
"8i9hj","0.00","OK"
"8i9hm","3.92","OK"
"8i9hn","1.73","OK"
"8i9ht","22430.69","OK"
"8i9hu","61.22","OK"
"8i9hw","0.00","OK"
"8i9hx","97.32","OK"
"8i9hz","0.00","OK"
"8i9i1","1079.58","OK"
"8i9i3","3119.79","OK"
"8i9i4","0.07","OK"
"8i9i5","384.99","Observation"
"8i9i7","22.22","OK"
"8i9i9","27.32","OK"
"8i9ia","124.22","OK"
"8i9ib","2.07","OK"
"8i9ic","268.92","OK"
"8i9id","10.72","OK"
"8i9ie","38.72","OK"
"8i9ig","827.59","OK"
"8i9ih","5.54","OK"
