"partnerid","MaxClickPer1Min","MaxClickPer5Min","MaxClickPer3Hr","MaxClickPer6Hr","status"
"8i7uk","7","7","13","20","OK"
"8i7ux","4","5","40","46","OK"
"8i7va","1","1","1","2","OK"
"8i7vb","2","2","3","4","OK"
"8i7vf","2","2","2","2","OK"
"8i7vp","28","94","1531","1661","OK"
"8i7vq","6","14","204","282","OK"
"8i7vz","4","8","57","76","OK"
"8i7w2","3","6","15","27","OK"
"8i7wb","7","10","29","46","OK"
"8i7wi","4","9","116","161","OK"
"8i7wr","4","10","151","265","OK"
"8i7wv","4","5","20","34","OK"
"8i7xd","7","21","111","130","Observation"
"8i7yy","1","1","1","1","OK"
"8i7z7","2","2","14","14","OK"
"8i7zf","1","1","1","1","OK"
"8i7zk","5","7","108","178","OK"
"8i7zl","6","14","210","332","OK"
"8i804","2","2","5","6","OK"
"8i806","3","9","80","126","OK"
"8i80a","5","7","65","94","OK"
"8i80j","1","1","1","1","OK"
"8i81d","2","2","4","5","OK"
"8i81i","1","1","2","2","OK"
"8i828","11","34","635","797","OK"
"8i82g","1","2","2","3","OK"
"8i82r","1","1","2","2","OK"
"8i82x","1","1","2","3","OK"
"8i830","1","1","2","2","OK"
"8i833","2","2","9","14","OK"
"8i83a","1","1","2","2","OK"
"8i83y","1","1","1","1","OK"
"8i84n","1","1","4","4","OK"
"8i84o","1","2","3","4","OK"
"8i84w","1","1","1","1","OK"
"8i85v","2","3","18","27","OK"
"8i86i","1","1","1","1","OK"
"8i88w","2","2","5","8","OK"
"8i89m","2","2","2","2","OK"
"8i8ar","1","2","3","3","OK"
"8i8bx","2","3","8","13","OK"
"8i8cj","1","1","1","1","OK"
"8i8do","1","1","1","1","OK"
"8i8e5","2","5","8","12","OK"
"8i8e7","1","1","1","1","OK"
"8i8ef","1","1","2","4","OK"
"8i8en","1","1","1","1","OK"
"8i8fk","3","3","3","6","OK"
"8i8fm","4","5","33","52","Observation"
"8i8fn","2","2","3","5","OK"
"8i8fq","2","3","11","20","OK"
"8i8ft","2","2","7","10","OK"
"8i8g3","1","1","1","1","OK"
"8i8go","4","7","30","53","Observation"
"8i8gu","1","1","1","1","OK"
"8i8gx","1","1","1","1","OK"
