"partnerid","MaxSameAgentCount","status"
"8i7uk","7","OK"
"8i7ux","52","OK"
"8i7va","1","OK"
"8i7vb","2","OK"
"8i7vf","2","OK"
"8i7vp","386","OK"
"8i7vq","299","OK"
"8i7vz","19","OK"
"8i7w2","33","OK"
"8i7wb","18","OK"
"8i7wi","116","OK"
"8i7wr","212","OK"
"8i7wv","95","OK"
"8i7xd","66","Observation"
"8i7yy","3","OK"
"8i7z7","31","OK"
"8i7zf","1","OK"
"8i7zk","144","OK"
"8i7zl","282","OK"
"8i804","5","OK"
"8i806","111","OK"
"8i80a","63","OK"
"8i80j","2","OK"
"8i81d","2","OK"
"8i81i","3","OK"
"8i828","501","OK"
"8i82g","3","OK"
"8i82r","2","OK"
"8i82x","1","OK"
"8i830","2","OK"
"8i833","11","OK"
"8i83a","1","OK"
"8i83y","1","OK"
"8i84n","4","OK"
"8i84o","3","OK"
"8i84w","1","OK"
"8i85v","71","OK"
"8i86i","1","OK"
"8i88w","30","OK"
"8i89m","2","OK"
"8i8ar","7","OK"
"8i8bx","4","OK"
"8i8cj","1","OK"
"8i8do","2","OK"
"8i8e5","17","OK"
"8i8e7","1","OK"
"8i8ef","7","OK"
"8i8en","3","OK"
"8i8fk","8","OK"
"8i8fm","105","Observation"
"8i8fn","9","OK"
"8i8fq","22","OK"
"8i8ft","9","OK"
"8i8g3","1","OK"
"8i8go","80","Observation"
"8i8gu","1","OK"
"8i8gx","1","OK"
"8i8gz","1","OK"
"8i8h2","1","OK"
"8i8h7","120","Fraud"
"8i8hw","5","OK"
"8i8ih","2","OK"
"8i8is","113","OK"
"8i8iv","20","OK"
"8i8j2","29","OK"
"8i8jl","2","OK"
"8i8k3","6","OK"
"8i8kg","1","OK"
"8i8ku","7","OK"
"8i8le","3","OK"
"8i8lx","1","OK"
"8i8m6","51","OK"
"8i8mq","2","OK"
"8i8mr","1","OK"
"8i8n6","2","OK"
"8i8no","16","OK"
"8i8nq","1","OK"
"8i8nr","238","OK"
"8i8oh","1","OK"
"8i8p1","3","OK"
"8i8pz","1","OK"
"8i8q4","10","OK"
"8i8qk","3","OK"
"8i8qn","1","OK"
"8i8rs","1","OK"
"8i8s9","1","OK"
"8i8t2","1","OK"
"8i8tt","16","Observation"
"8i8tw","1","OK"
"8i8u1","1","OK"
"8i8u7","1","OK"
"8i8u8","11","OK"
