"partnerid","MaxSameCntrCount","status"
"8i7uk","23","OK"
"8i7ux","96","OK"
"8i7va","5","OK"
"8i7vb","8","OK"
"8i7vf","2","OK"
"8i7vp","2912","OK"
"8i7vq","933","OK"
"8i7vz","158","OK"
"8i7w2","92","OK"
"8i7wb","93","OK"
"8i7wi","1289","OK"
"8i7wr","1344","OK"
"8i7wv","163","OK"
"8i7xd","340","Observation"
"8i7yy","3","OK"
"8i7z7","77","OK"
"8i7zf","2","OK"
"8i7zk","1137","OK"
"8i7zl","1581","OK"
"8i804","7","OK"
"8i806","460","OK"
"8i80a","479","OK"
"8i80j","2","OK"
"8i81d","13","OK"
"8i81i","4","OK"
"8i828","2775","OK"
"8i82g","10","OK"
"8i82r","3","OK"
"8i82x","2","OK"
"8i830","2","OK"
"8i833","37","OK"
"8i83a","1","OK"
"8i83y","1","OK"
"8i84n","17","OK"
"8i84o","19","OK"
"8i84w","1","OK"
"8i85v","62","OK"
"8i86i","1","OK"
"8i88w","28","OK"
"8i89m","2","OK"
"8i8ar","5","OK"
"8i8bx","21","OK"
"8i8cj","1","OK"
"8i8do","2","OK"
"8i8e5","50","OK"
"8i8e7","1","OK"
"8i8ef","9","OK"
"8i8en","3","OK"
"8i8fk","9","OK"
"8i8fm","144","Observation"
"8i8fn","12","OK"
"8i8fq","36","OK"
"8i8ft","18","OK"
"8i8g3","1","OK"
"8i8go","284","Observation"
"8i8gu","1","OK"
"8i8gx","1","OK"
"8i8gz","1","OK"
"8i8h2","2","OK"
"8i8h7","338","Fraud"
"8i8hw","8","OK"
"8i8ih","2","OK"
"8i8is","162","OK"
"8i8iv","13","OK"
"8i8j2","44","OK"
"8i8jl","2","OK"
"8i8k3","8","OK"
"8i8kg","1","OK"
"8i8ku","7","OK"
"8i8le","4","OK"
"8i8lx","1","OK"
"8i8m6","320","OK"
"8i8mq","4","OK"
"8i8mr","2","OK"
"8i8n6","9","OK"
"8i8no","55","OK"
"8i8nq","1","OK"
"8i8nr","987","OK"
"8i8oh","1","OK"
"8i8p1","22","OK"
"8i8pz","1","OK"
"8i8q4","36","OK"
"8i8qk","3","OK"
"8i8qn","1","OK"
"8i8rs","1","OK"
"8i8s9","1","OK"
"8i8t2","2","OK"
"8i8tt","117","Observation"
"8i8tw","1","OK"
"8i8u1","2","OK"
"8i8u7","1","OK"
"8i8u8","65","OK"
"8i8ub","27","OK"
