"partnerid","Skew1Min","Skew5Min","Skew3Hr","Skew6Hr","status"
"8i7uk","7.76","6.25","1.46","1.12","OK"
"8i7ux","4.72","2.15","2.13","1.25","OK"
"8i7va",0.00,0.00,0.00,"2.04","OK"
"8i7vb","2.67","2.67","0.23","0.87","OK"
"8i7vf",0.00,0.00,0.00,0.00,"OK"
"8i7vp","2.07","2.71","2.20","1.28","OK"
"8i7vq","2.15","1.35","0.45","-0.16","OK"
"8i7vz","4.27","3.57","2.29","1.29","OK"
"8i7w2","3.90","3.91","1.14","1.03","OK"
"8i7wb","8.21","5.69","1.10","0.65","OK"
"8i7wi","2.41","1.36","0.44","-0.58","OK"
"8i7wr","2.44","1.91","1.24","1.00","OK"
"8i7wv","5.91","2.92","0.88","1.22","OK"
"8i7xd","2.21","2.40","1.97","1.56","Observation"
"8i7yy",0.00,0.00,0.00,0.00,"OK"
"8i7z7","6.00","2.24","1.63","0.55","OK"
"8i7zf",0.00,0.00,0.00,0.00,"OK"
"8i7zk","2.81","1.36","0.65","0.24","OK"
"8i7zl","2.37","1.66","1.45","1.05","OK"
"8i804","1.79","1.79","0.64","0.62","OK"
"8i806","2.48","2.22","1.10","0.16","OK"
"8i80a","3.52","1.92","0.49","-0.66","OK"
"8i80j",0.00,0.00,0.00,0.00,"OK"
"8i81d","1.79","1.79","1.75","0.63","OK"
"8i81i",0.00,0.00,"1.15","1.15","OK"
"8i828","2.39","2.57","2.47","1.45","OK"
"8i82g",0.00,"3.18","1.02","0.00","OK"
"8i82r",0.00,0.00,"1.50","1.50","OK"
"8i82x",0.00,0.00,"0.00",0.00,"OK"
"8i830",0.00,0.00,0.00,0.00,"OK"
"8i833","6.17","3.18","1.72","1.58","OK"
"8i83a",0.00,0.00,0.00,0.00,"OK"
"8i83y",0.00,0.00,0.00,0.00,"OK"
"8i84n",0.00,0.00,"1.22","0.23","OK"
"8i84o",0.00,"4.36","0.35","0.29","OK"
"8i84w",0.00,0.00,0.00,0.00,"OK"
"8i85v","4.61","1.98","1.16","0.72","OK"
"8i86i",0.00,0.00,0.00,0.00,"OK"
"8i88w","4.53","4.53","-0.06","-0.47","OK"
"8i89m","0.71","0.71","0.71","0.71","OK"
"8i8ar",0.00,"3.18","1.40","0.00","OK"
"8i8bx","8.31","4.59","0.84","0.64","OK"
"8i8cj",0.00,0.00,0.00,0.00,"OK"
"8i8do",0.00,0.00,0.00,0.00,"OK"
"8i8e5","1.90","3.09","1.26","0.56","OK"
"8i8e7",0.00,0.00,0.00,0.00,"OK"
"8i8ef",0.00,0.00,"0.00","1.15","OK"
"8i8en",0.00,0.00,0.00,0.00,"OK"
"8i8fk","3.90","3.10","0.48","0.71","OK"
"8i8fm","5.20","2.79","0.83","0.66","Observation"
"8i8fn","2.34","1.79","-0.38","1.30","OK"
"8i8fq","1.64","1.23","1.02","1.21","OK"
"8i8ft","5.00","5.00","1.12","1.25","OK"
"8i8g3",0.00,0.00,0.00,0.00,"OK"
"8i8go","2.92","2.33","0.04","0.10","Observation"
"8i8gu",0.00,0.00,0.00,0.00,"OK"
"8i8gx",0.00,0.00,0.00,0.00,"OK"
"8i8gz",0.00,0.00,0.00,0.00,"OK"
