"partnerid","TimeatVariance1Min","TimeatVariance5Min","TimeatVariance3Hr","TimeatVariance6Hr","status"
"8i7uk","0.47","0.55","7.95","27.36","OK"
"8i7ux","0.11","0.40","84.77","148.84","OK"
"8i7va","0.00","0.00","0.00","0.12","OK"
"8i7vb","0.09","0.09","0.47","0.96","OK"
"8i7vf","0.00","0.00","0.00","0.00","OK"
"8i7vp","23.66","345.67","206927.68","360808.47","OK"
"8i7vq","0.61","6.32","3620.67","11055.98","OK"
"8i7vz","0.14","0.75","201.48","512.53","OK"
"8i7w2","0.10","0.57","17.02","61.30","OK"
"8i7wb","0.24","0.74","51.78","162.52","OK"
"8i7wi","0.26","1.77","439.83","1038.14","OK"
"8i7wr","0.25","2.49","1253.35","4544.77","OK"
"8i7wv","0.12","0.42","28.00","89.91","OK"
"8i7xd","1.10","13.26","912.16","1814.83","Observation"
"8i7yy","0.00","0.00","0.00","0.00","OK"
"8i7z7","0.03","0.11","10.09","16.38","OK"
"8i7zf","0.00","0.00","0.00","0.00","OK"
"8i7zk","0.23","1.56","779.35","2469.79","OK"
"8i7zl","0.41","3.90","2686.01","9229.41","OK"
"8i804","0.14","0.14","1.56","2.56","OK"
"8i806","0.20","1.46","298.80","984.77","OK"
"8i80a","0.17","1.00","234.92","697.87","OK"
"8i80j","0.00","0.00","0.00","0.00","OK"
"8i81d","0.14","0.14","0.91","2.22","OK"
"8i81i","0.00","0.00","0.19","0.19","OK"
"8i828","2.37","31.45","23646.54","49438.90","OK"
"8i82g","0.00","0.07","0.20","0.29","OK"
"8i82r","0.00","0.00","0.16","0.16","OK"
"8i82x","0.00","0.00","0.25","0.00","OK"
"8i830","0.00","0.00","0.00","0.00","OK"
"8i833","0.02","0.07","4.48","15.79","OK"
"8i83a","0.00","0.00","0.00","0.00","OK"
"8i83y","0.00","0.00","0.00","0.00","OK"
"8i84n","0.00","0.00","1.01","1.36","OK"
"8i84o","0.00","0.04","0.49","1.21","OK"
"8i84w","0.00","0.00","0.00","0.00","OK"
"8i85v","0.04","0.17","24.16","56.92","OK"
"8i86i","0.00","0.00","0.00","0.00","OK"
"8i88w","0.04","0.04","1.87","5.89","OK"
"8i89m","0.22","0.22","0.22","0.22","OK"
"8i8ar","0.00","0.07","0.44","0.57","OK"
"8i8bx","0.01","0.10","4.49","15.24","OK"
"8i8cj","0.00","0.00","0.00","0.00","OK"
"8i8do","0.00","0.00","0.00","0.00","OK"
"8i8e5","0.13","0.50","3.38","9.51","OK"
"8i8e7","0.00","0.00","0.00","0.00","OK"
"8i8ef","0.00","0.00","0.25","1.36","OK"
"8i8en","0.00","0.00","0.00","0.00","OK"
"8i8fk","0.17","0.20","0.53","2.41","OK"
"8i8fm","0.09","0.40","73.20","242.25","Observation"
