"partnerid","TotalClicks","NoOfUniqueReferer","RefererClickRatio","NonRefererClickRatio","status"
"8i7uk","93","35","0.38","0.62","OK"
"8i7ux","246","105","0.43","0.57","OK"
"8i7va","8","4","0.50","0.50","OK"
"8i7vb","11","4","0.36","0.64","OK"
"8i7vf","2","1","0.50","0.50","OK"
"8i7vp","4001","1818","0.45","0.55","OK"
"8i7vq","1922","1054","0.55","0.45","OK"
"8i7vz","324","75","0.23","0.77","OK"
"8i7w2","116","43","0.37","0.63","OK"
"8i7wb","269","133","0.49","0.51","OK"
"8i7wi","1502","403","0.27","0.73","OK"
"8i7wr","1352","533","0.39","0.61","OK"
"8i7wv","165","7","0.04","0.96","OK"
"8i7xd","360","37","0.10","0.90","Observation"
"8i7yy","3","1","0.33","0.67","OK"
"8i7z7","80","10","0.13","0.88","OK"
"8i7zf","3","3","1.00","0.00","OK"
"8i7zk","1177","353","0.30","0.70","OK"
"8i7zl","1589","336","0.21","0.79","OK"
"8i804","28","2","0.07","0.93","OK"
"8i806","845","18","0.02","0.98","OK"
"8i80a","757","80","0.11","0.89","OK"
"8i80j","2","1","0.50","0.50","OK"
"8i81d","14","12","0.86","0.14","OK"
"8i81i","10","3","0.30","0.70","OK"
"8i828","3417","100","0.03","0.97","OK"
"8i82g","14","13","0.93","0.07","OK"
"8i82r","6","3","0.50","0.50","OK"
"8i82x","3","3","1.00","0.00","OK"
"8i830","2","2","1.00","0.00","OK"
"8i833","42","24","0.57","0.43","OK"
"8i83a","2","1","0.50","0.50","OK"
"8i83y","1","1","1.00","0.00","OK"
"8i84n","17","16","0.94","0.06","OK"
"8i84o","23","4","0.17","0.83","OK"
"8i84w","1","1","1.00","0.00","OK"
"8i85v","126","15","0.12","0.88","OK"
"8i86i","1","1","1.00","0.00","OK"
"8i88w","49","1","0.02","0.98","OK"
"8i89m","4","1","0.25","0.75","OK"
"8i8ar","14","1","0.07","0.93","OK"
"8i8bx","73","22","0.30","0.70","OK"
"8i8cj","1","1","1.00","0.00","OK"
"8i8do","2","1","0.50","0.50","OK"
"8i8e5","67","1","0.01","0.99","OK"
"8i8e7","1","1","1.00","0.00","OK"
"8i8ef","9","1","0.11","0.89","OK"
"8i8en","3","1","0.33","0.67","OK"
"8i8fk","31","1","0.03","0.97","OK"
"8i8fm","270","3","0.01","0.99","Observation"
"8i8fn","28","1","0.04","0.96","OK"
"8i8fq","71","1","0.01","0.99","OK"
"8i8ft","29","1","0.03","0.97","OK"
"8i8g3","2","1","0.50","0.50","OK"
"8i8go","342","2","0.01","0.99","Observation"
"8i8gu","1","1","1.00","0.00","OK"
"8i8gx","1","1","1.00","0.00","OK"
"8i8gz","1","1","1.00","0.00","OK"
"8i8h2","2","1","0.50","0.50","OK"
"8i8h7","380","1","0.00","1.00","Fraud"
"8i8hw","8","1","0.13","0.88","OK"
"8i8ih","2","1","0.50","0.50","OK"
"8i8is","231","1","0.00","1.00","OK"
"8i8iv","40","1","0.03","0.98","OK"
"8i8j2","51","1","0.02","0.98","OK"
"8i8jl","3","1","0.33","0.67","OK"
"8i8k3","11","1","0.09","0.91","OK"
"8i8kg","1","1","1.00","0.00","OK"
"8i8ku","7","1","0.14","0.86","OK"
"8i8le","16","6","0.38","0.63","OK"
"8i8lx","1","1","1.00","0.00","OK"
"8i8m6","591","249","0.42","0.58","OK"
"8i8mq","4","3","0.75","0.25","OK"
"8i8mr","2","2","1.00","0.00","OK"
"8i8n6","9","1","0.11","0.89","OK"
"8i8no","58","5","0.09","0.91","OK"
"8i8nq","1","1","1.00","0.00","OK"
"8i8nr","1070","384","0.36","0.64","OK"
"8i8oh","1","1","1.00","0.00","OK"
"8i8p1","22","3","0.14","0.86","OK"
"8i8pz","1","1","1.00","0.00","OK"
"8i8q4","37","5","0.14","0.86","OK"
"8i8qk","5","3","0.60","0.40","OK"
"8i8qn","1","1","1.00","0.00","OK"
"8i8rs","1","1","1.00","0.00","OK"
"8i8s9","1","1","1.00","0.00","OK"
"8i8t2","2","1","0.50","0.50","OK"
"8i8tt","164","2","0.01","0.99","Observation"
"8i8tw","3","3","1.00","0.00","OK"
"8i8u1","3","2","0.67","0.33","OK"
"8i8u7","1","1","1.00","0.00","OK"
"8i8u8","66","13","0.20","0.80","OK"
"8i8ub","27","3","0.11","0.89","OK"
"8i8ui","9","4","0.44","0.56","OK"
"8i8wd","7","2","0.29","0.71","OK"
"8i8xq","608","50","0.08","0.92","OK"
"8i8ye","4705","202","0.04","0.96","OK"
"8i8yi","12","9","0.75","0.25","OK"
"8i8yn","46","26","0.57","0.43","OK"
"8i8yu","38","3","0.08","0.92","OK"
"8i8z4","228","44","0.19","0.81","OK"
"8i8zd","4","1","0.25","0.75","OK"
"8i8ze","128","36","0.28","0.72","OK"
"8i8zi","17","13","0.76","0.24","OK"
"8i903","48","22","0.46","0.54","OK"
"8i90i","2","2","1.00","0.00","OK"
"8i90k","2310","13","0.01","0.99","Fraud"
"8i90m","945","126","0.13","0.87","OK"
"8i91i","9085","5047","0.56","0.44","OK"
"8i922","15783","7237","0.46","0.54","OK"
"8i92t","9894","1491","0.15","0.85","OK"
"8i92u","1","1","1.00","0.00","OK"
"8i930","560","12","0.02","0.98","Observation"
"8i932","5","4","0.80","0.20","OK"
"8i936","746","50","0.07","0.93","OK"
"8i93o","22","6","0.27","0.73","OK"
"8i93q","443","46","0.10","0.90","OK"
"8i941","156","79","0.51","0.49","OK"
"8i949","551","74","0.13","0.87","OK"
"8i94e","2","1","0.50","0.50","OK"
"8i94n","1","1","1.00","0.00","OK"
"8i94y","73","37","0.51","0.49","OK"
"8i95z","97","3","0.03","0.97","OK"
"8i969","422","166","0.39","0.61","OK"
"8i96u","70","14","0.20","0.80","OK"
"8i96x","14","5","0.36","0.64","OK"
"8i98h","5","3","0.60","0.40","OK"
"8i99h","18","10","0.56","0.44","OK"
"8i9a2","1","1","1.00","0.00","OK"
"8i9at","15","7","0.47","0.53","OK"
"8i9aw","630","59","0.09","0.91","OK"
"8i9b4","6","4","0.67","0.33","OK"
"8i9bj","16","6","0.38","0.63","OK"
"8i9bm","305","20","0.07","0.93","OK"
"8i9bs","8","1","0.13","0.88","OK"
"8i9bw","25","13","0.52","0.48","OK"
"8i9bx","14","8","0.57","0.43","OK"
"8i9cn","68","52","0.76","0.24","OK"
"8i9co","29","5","0.17","0.83","OK"
"8i9cr","28","6","0.21","0.79","OK"
"8i9d0","5","3","0.60","0.40","OK"
