"partnerid","distinct category","partnerid_cnt","CategoryPrior"
"du3nk","1","3360","3360.000000000"
"du3nq","1","377","377.000000000"
"du3op","1","213","213.000000000"
"du3or","1","2","2.000000000"
"du3ov","1","88","88.000000000"
"du3ox","1","1","1.000000000"
"du3oy","1","129","129.000000000"
"du3oz","1","165","165.000000000"
"du3p1","1","182","182.000000000"
"du3r7","1","29","29.000000000"
"du3r8","1","19","19.000000000"
"du3rc","1","206","206.000000000"
"du3rf","1","218","218.000000000"
"du3rj","1","8","8.000000000"
"du3ro","1","3","3.000000000"
"du3rw","1","180","180.000000000"
"du3ry","1","340","340.000000000"
"du3s0","1","537","537.000000000"
"du3s1","1","559","559.000000000"
"du3s2","1","8","8.000000000"
"du3s3","1","545","545.000000000"
"du3sl","1","109","109.000000000"
"du3so","1","887","887.000000000"
"du3sp","1","891","891.000000000"
"du3sq","1","548","548.000000000"
"du3sr","1","476","476.000000000"
"du3ss","1","70","70.000000000"
"du3t6","1","2","2.000000000"
"du3tc","1","8","8.000000000"
"du3td","1","11","11.000000000"
"du3te","1","12","12.000000000"
"du3tf","1","584","584.000000000"
"du3tg","1","732","732.000000000"
"du3th","1","4","4.000000000"
"du3ti","1","217","217.000000000"
"du3tj","1","6","6.000000000"
"du3ts","1","337","337.000000000"
"du3tt","1","180","180.000000000"
"du3tu","1","322","322.000000000"
"du3tv","1","212","212.000000000"
"du3tw","1","347","347.000000000"
"du3tx","1","194","194.000000000"
"du3tz","1","187","187.000000000"
"du3u1","1","306","306.000000000"
"du3u8","1","2","2.000000000"
"du3u9","1","314","314.000000000"
"du3ub","1","239","239.000000000"
"du3uf","1","3","3.000000000"
"du4og","1","284","284.000000000"
"du4ou","1","979","979.000000000"
"du4p9","1","25","25.000000000"
"du4pg","1","1","1.000000000"
"du4pp","1","3","3.000000000"
"du4qr","1","4","4.000000000"
"du4qs","1","5","5.000000000"
"du4qv","1","2","2.000000000"
"du4r4","1","20","20.000000000"
"du4rc","1","28","28.000000000"
"du4ri","1","8","8.000000000"
"du4rj","1","569","569.000000000"
"du4rz","1","11","11.000000000"
"du4s4","1","243","243.000000000"
"du4s7","1","256","256.000000000"
"du4sk","1","1","1.000000000"
"du4sp","1","732","732.000000000"
"du4t1","1","13","13.000000000"
"du4t7","1","275","275.000000000"
"du4tk","1","1256","1256.000000000"
"du4tl","1","2288","2288.000000000"
"du4u9","1","333","333.000000000"
"du4uq","1","724","724.000000000"
"du4vd","1","1","1.000000000"
"du4vr","1","10","10.000000000"
"du4vt","1","290","290.000000000"
"du4vx","1","68","68.000000000"
"du4wd","1","6","6.000000000"
"du4wr","1","5","5.000000000"
"du4wy","1","8","8.000000000"
"du4xs","1","32","32.000000000"
"du4xx","1","1","1.000000000"
"du4y2","1","15","15.000000000"
"du4y5","1","384","384.000000000"
"du4yb","1","4","4.000000000"
"du4yc","1","1206","1206.000000000"
"du4yd","1","1275","1275.000000000"
"du4ye","1","949","949.000000000"
"du4yf","1","655","655.000000000"
"du4yi","1","1033","1033.000000000"
"du4yj","1","1670","1670.000000000"
"du4z4","1","442","442.000000000"
"du4za","1","1","1.000000000"
"du4zw","1","285","285.000000000"
"du50a","1","3","3.000000000"
"du518","1","2","2.000000000"
"du51w","1","13","13.000000000"
"du528","1","934","934.000000000"
"du52a","1","1160","1160.000000000"
"du52b","1","447","447.000000000"
"du52c","1","2683","2683.000000000"
"du52d","1","682","682.000000000"
"du52i","1","7","7.000000000"
"du52y","1","2","2.000000000"
"du531","1","2","2.000000000"
"du53e","1","1","1.000000000"
"du53f","1","224","224.000000000"
"du53g","1","76","76.000000000"
"du53k","1","2646","2646.000000000"
"du53l","1","521","521.000000000"
"du53o","1","10","10.000000000"
"du53q","1","10","10.000000000"
"du53r","1","7","7.000000000"
"du543","1","582","582.000000000"
"du54d","1","35","35.000000000"
"du54j","1","1","1.000000000"
"du54m","1","3","3.000000000"
"du54o","1","1550","1550.000000000"
"du550","1","31","31.000000000"
"du55b","1","2","2.000000000"
"du55f","1","1568","1568.000000000"
"du55j","1","236","236.000000000"
"du55u","1","25","25.000000000"
"du567","1","6","6.000000000"
"du56e","1","1288","1288.000000000"
"du56s","1","10096","10096.000000000"
"du56u","1","11","11.000000000"
"du582","1","113","113.000000000"
"du58i","1","350","350.000000000"
"du58m","1","1097","1097.000000000"
"du58o","1","1398","1398.000000000"
"du58p","1","62","62.000000000"
"du58q","1","599","599.000000000"
"du58r","1","762","762.000000000"
"du58t","1","821","821.000000000"
"du59f","1","1017","1017.000000000"
"du59q","1","1","1.000000000"
"du5aj","1","584","584.000000000"
"du5au","1","2","2.000000000"
"du5b8","1","95","95.000000000"
"du5be","1","5","5.000000000"
"du5bm","1","145","145.000000000"
"du5c0","1","2","2.000000000"
"du5cc","1","37","37.000000000"
"du5cg","1","8","8.000000000"
"du5ci","1","27","27.000000000"
"du5dx","1","558","558.000000000"
"du5f5","1","1","1.000000000"
"du5f7","1","89","89.000000000"
"du5fl","1","105","105.000000000"
"du5ft","1","15","15.000000000"
"du5fy","1","760","760.000000000"
"du5g9","1","736","736.000000000"
"du5gy","1","160","160.000000000"
"du5gz","1","20","20.000000000"
"du5h0","1","104","104.000000000"
"du5h8","1","22","22.000000000"
"du5h9","1","32","32.000000000"
"du5hg","1","2","2.000000000"
"du5hm","1","100","100.000000000"
"du5hu","1","1","1.000000000"
"du5i4","1","59","59.000000000"
"du5i8","1","321","321.000000000"
"du5ic","1","4","4.000000000"
"du5if","1","1","1.000000000"
"du5ik","1","723","723.000000000"
"du5je","1","232","232.000000000"
"du5jq","1","56","56.000000000"
"du5k8","1","19","19.000000000"
"du5kg","1","2","2.000000000"
"du5kz","1","501","501.000000000"
"du5l0","1","12","12.000000000"
"du5l4","1","2","2.000000000"
"du5lb","1","146","146.000000000"
"du5li","1","48","48.000000000"
"du5ll","1","1016","1016.000000000"
"du5lm","1","2537","2537.000000000"
"du5ln","1","87","87.000000000"
"du5lw","1","7","7.000000000"
"du5mb","1","49","49.000000000"
"du5md","1","884","884.000000000"
"du5mn","1","327","327.000000000"
"du5nc","1","5","5.000000000"
"du5ns","1","178","178.000000000"
"du5nx","1","35","35.000000000"
"du5o2","1","2311","2311.000000000"
"du5ob","1","420","420.000000000"
"du5od","1","309","309.000000000"
"du5p9","1","1","1.000000000"
"du5pf","1","1","1.000000000"
"du5pw","1","3","3.000000000"
"du5py","1","716","716.000000000"
"du5pz","1","86","86.000000000"
"du5q1","1","1795","1795.000000000"
"du5q6","1","284","284.000000000"
"du5q8","1","2572","2572.000000000"
"du5qa","1","3149","3149.000000000"
"du5qb","1","2783","2783.000000000"
"du5qg","1","66","66.000000000"
"du5qh","1","26","26.000000000"
"du5qm","1","65","65.000000000"
"du5qq","1","250","250.000000000"
"du5qs","1","1050","1050.000000000"
"du5qt","1","97","97.000000000"
"du5qu","1","16","16.000000000"
"du5qy","1","5","5.000000000"
"du5ra","1","2","2.000000000"
"du5rh","1","255","255.000000000"
"du5rm","1","38","38.000000000"
"du5rp","1","33","33.000000000"
"du5sk","1","1","1.000000000"
"du5sq","1","672","672.000000000"
"du5t1","1","1","1.000000000"
"du5t8","1","3","3.000000000"
"du5t9","1","1","1.000000000"
"du5tc","1","433","433.000000000"
"du5tg","1","127","127.000000000"
"du5tl","1","620","620.000000000"
"du5to","1","2704","2704.000000000"
"du5tp","1","2551","2551.000000000"
"du5tr","1","2677","2677.000000000"
"du5tw","1","2","2.000000000"
"du5tz","1","7","7.000000000"
"du5u8","1","1062","1062.000000000"
"du5u9","1","266","266.000000000"
"du5uq","1","3","3.000000000"
"du5vg","1","1","1.000000000"
"du5vh","1","224","224.000000000"
"du5vl","1","9","9.000000000"
"du5vq","1","38","38.000000000"
"du5w1","1","693","693.000000000"
"du5wf","1","1","1.000000000"
"du5x6","1","28","28.000000000"
"du5xe","1","329","329.000000000"
