"partnerid","distinct category","partnerid_cnt","category_prior"
"8i7uk","1","93","93.000000000"
"8i7ux","1","246","246.000000000"
"8i7va","1","8","8.000000000"
"8i7vb","1","11","11.000000000"
"8i7vf","1","2","2.000000000"
"8i7vp","1","4001","4001.000000000"
"8i7vq","1","1922","1922.000000000"
"8i7vz","1","324","324.000000000"
"8i7w2","1","116","116.000000000"
"8i7wb","1","269","269.000000000"
"8i7wi","1","1502","1502.000000000"
"8i7wr","1","1352","1352.000000000"
"8i7wv","1","165","165.000000000"
"8i7xd","1","360","360.000000000"
"8i7yy","1","3","3.000000000"
"8i7z7","1","80","80.000000000"
"8i7zf","1","3","3.000000000"
"8i7zk","1","1177","1177.000000000"
"8i7zl","1","1589","1589.000000000"
"8i804","1","28","28.000000000"
"8i806","1","845","845.000000000"
"8i80a","1","757","757.000000000"
"8i80j","1","2","2.000000000"
"8i81d","1","14","14.000000000"
"8i81i","1","10","10.000000000"
"8i828","1","3417","3417.000000000"
"8i82g","1","14","14.000000000"
"8i82r","1","6","6.000000000"
"8i82x","1","3","3.000000000"
"8i830","1","2","2.000000000"
"8i833","1","42","42.000000000"
"8i83a","1","2","2.000000000"
"8i83y","1","1","1.000000000"
"8i84n","1","17","17.000000000"
"8i84o","1","23","23.000000000"
"8i84w","1","1","1.000000000"
"8i85v","1","126","126.000000000"
"8i86i","1","1","1.000000000"
"8i88w","1","49","49.000000000"
"8i89m","1","4","4.000000000"
"8i8ar","1","14","14.000000000"
"8i8bx","1","73","73.000000000"
"8i8cj","1","1","1.000000000"
"8i8do","1","2","2.000000000"
"8i8e5","1","67","67.000000000"
"8i8e7","1","1","1.000000000"
"8i8ef","1","9","9.000000000"
"8i8en","1","3","3.000000000"
"8i8fk","1","31","31.000000000"
"8i8fm","1","270","270.000000000"
"8i8fn","1","28","28.000000000"
"8i8fq","1","71","71.000000000"
"8i8ft","1","29","29.000000000"
"8i8g3","1","2","2.000000000"
"8i8go","1","342","342.000000000"
"8i8gu","1","1","1.000000000"
"8i8gx","1","1","1.000000000"
"8i8gz","1","1","1.000000000"
"8i8h2","1","2","2.000000000"
"8i8h7","1","380","380.000000000"
"8i8hw","1","8","8.000000000"
"8i8ih","1","2","2.000000000"
"8i8is","1","231","231.000000000"
"8i8iv","1","40","40.000000000"
"8i8j2","1","51","51.000000000"
"8i8jl","1","3","3.000000000"
"8i8k3","1","11","11.000000000"
"8i8kg","1","1","1.000000000"
"8i8ku","1","7","7.000000000"
"8i8le","1","16","16.000000000"
"8i8lx","1","1","1.000000000"
"8i8m6","1","591","591.000000000"
"8i8mq","1","4","4.000000000"
"8i8mr","1","2","2.000000000"
"8i8n6","1","9","9.000000000"
"8i8no","1","58","58.000000000"
"8i8nq","1","1","1.000000000"
"8i8nr","1","1070","1070.000000000"
"8i8oh","1","1","1.000000000"
"8i8p1","1","22","22.000000000"
"8i8pz","1","1","1.000000000"
"8i8q4","1","37","37.000000000"
"8i8qk","1","5","5.000000000"
"8i8qn","1","1","1.000000000"
"8i8rs","1","1","1.000000000"
"8i8s9","1","1","1.000000000"
"8i8t2","1","2","2.000000000"
"8i8tt","1","164","164.000000000"
"8i8tw","1","3","3.000000000"
"8i8u1","1","3","3.000000000"
"8i8u7","1","1","1.000000000"
"8i8u8","1","66","66.000000000"
"8i8ub","1","27","27.000000000"
