"partnerid","EntropyIplong","EntropyCid","EntropyAgent","EntropyCntr","status"
"8i7uk","4.48","5.67","5.55","4.11","OK"
"8i7ux","3.36","5.35","5.53","2.45","OK"
"8i7va","2.75","3.00","3.00","1.55","OK"
"8i7vb","2.91","3.28","2.91","1.10","OK"
"8i7vf","0.00","1.00","0.00","0.00","OK"
"8i7vp","5.61","5.09","6.36","1.23","OK"
"8i7vq","3.37","5.68","6.58","2.62","OK"
"8i7vz","5.69","6.01","6.35","2.19","OK"
"8i7w2","4.65","4.76","4.31","1.28","OK"
"8i7wb","4.97","6.57","6.37","3.19","OK"
"8i7wi","7.39","1.51","5.91","1.02","OK"
"8i7wr","8.39","4.30","4.92","0.06","OK"
"8i7wv","5.50","4.98","2.68","0.11","OK"
"8i7xd","5.97","5.02","5.46","0.43","Observation"
"8i7yy","1.58","0.92","0.00","0.00","OK"
"8i7z7","5.12","4.31","3.82","0.27","OK"
"8i7zf","0.92","1.58","1.58","0.92","OK"
"8i7zk","8.21","5.24","5.19","0.30","OK"
"8i7zl","8.46","4.36","4.64","0.06","OK"
"8i804","3.02","3.45","3.91","3.26","OK"
"8i806","6.50","5.48","6.67","2.38","OK"
"8i80a","5.73","6.86","6.86","2.74","OK"
"8i80j","1.00","1.00","0.00","0.00","OK"
"8i81d","2.98","3.66","3.52","0.37","OK"
"8i81i","2.85","2.85","2.65","1.72","OK"
"8i828","5.85","5.67","6.24","1.17","OK"
"8i82g","2.26","3.66","3.32","1.43","OK"
"8i82r","1.92","1.92","2.25","1.00","OK"
"8i82x","1.58","1.58","1.58","0.92","OK"
"8i830","1.00","1.00","0.00","0.00","OK"
"8i833","4.77","4.53","3.83","0.61","OK"
"8i83a","1.00","1.00","1.00","1.00","OK"
"8i83y","0.00","0.00","0.00","0.00","OK"
"8i84n","3.85","3.45","2.94","0.00","OK"
"8i84o","3.76","4.06","3.94","1.01","OK"
"8i84w","0.00","0.00","0.00","0.00","OK"
"8i85v","5.34","5.16","2.97","1.23","OK"
"8i86i","0.00","0.00","0.00","0.00","OK"
"8i88w","4.76","4.00","1.91","2.10","OK"
"8i89m","1.50","1.50","1.50","1.00","OK"
"8i8ar","2.41","3.52","1.92","2.55","OK"
"8i8bx","4.29","5.42","5.47","3.36","OK"
"8i8cj","0.00","0.00","0.00","0.00","OK"
"8i8do","0.00","1.00","0.00","0.00","OK"
"8i8e5","1.55","4.09","2.64","1.09","OK"
"8i8e7","0.00","0.00","0.00","0.00","OK"
"8i8ef","2.95","2.64","0.76","0.00","OK"
"8i8en","0.92","1.58","0.00","0.00","OK"
"8i8fk","2.93","4.20","3.20","2.46","OK"
"8i8fm","4.35","4.53","2.91","2.18","Observation"
"8i8fn","3.41","4.07","2.68","2.36","OK"
"8i8fq","2.51","4.52","2.76","1.77","OK"
"8i8ft","3.24","3.84","2.81","1.64","OK"
"8i8g3","1.00","1.00","1.00","1.00","OK"
"8i8go","1.51","4.68","2.63","1.17","Observation"
"8i8gu","0.00","0.00","0.00","0.00","OK"
"8i8gx","0.00","0.00","0.00","0.00","OK"
"8i8gz","0.00","0.00","0.00","0.00","OK"
"8i8h2","0.00","1.00","1.00","0.00","OK"
"8i8h7","3.27","3.73","2.42","0.52","Fraud"
"8i8hw","2.16","1.91","1.30","0.00","OK"
"8i8ih","1.00","1.00","0.00","0.00","OK"
"8i8is","5.17","4.57","2.50","1.75","OK"
"8i8iv","3.04","4.33","2.13","2.44","OK"
"8i8j2","4.69","3.68","2.02","0.92","OK"
"8i8jl","1.58","1.58","0.92","0.92","OK"
"8i8k3","2.85","2.66","1.44","1.10","OK"
"8i8kg","0.00","0.00","0.00","0.00","OK"
"8i8ku","2.81","2.24","0.00","0.00","OK"
"8i8le","2.25","2.65","3.45","2.61","OK"
"8i8lx","0.00","0.00","0.00","0.00","OK"
"8i8m6","5.98","1.37","5.55","2.17","OK"
"8i8mq","2.00","0.00","1.00","0.00","OK"
"8i8mr","1.00","1.00","1.00","0.00","OK"
"8i8n6","2.73","2.95","2.95","0.00","OK"
"8i8no","4.42","3.84","4.23","0.29","OK"
"8i8nq","0.00","0.00","0.00","0.00","OK"
"8i8nr","6.86","4.41","5.59","0.72","OK"
"8i8oh","0.00","0.00","0.00","0.00","OK"
"8i8p1","3.75","3.04","3.75","0.00","OK"
"8i8pz","0.00","0.00","0.00","0.00","OK"
"8i8q4","4.33","2.54","3.71","0.18","OK"
"8i8qk","1.92","2.32","1.37","1.37","OK"
"8i8qn","0.00","0.00","0.00","0.00","OK"
"8i8rs","0.00","0.00","0.00","0.00","OK"
"8i8s9","0.00","0.00","0.00","0.00","OK"
"8i8t2","1.00","1.00","1.00","0.00","OK"
"8i8tt","2.98","4.40","5.08","1.83","Observation"
"8i8tw","1.58","1.58","1.58","1.58","OK"
"8i8u1","1.58","1.58","1.58","0.92","OK"
"8i8u7","0.00","0.00","0.00","0.00","OK"
"8i8u8","4.30","3.73","4.17","0.11","OK"
"8i8ub","3.64","2.96","4.10","0.00","OK"
"8i8ui","2.20","2.28","2.20","2.20","OK"
"8i8wd","0.86","2.52","1.84","0.59","OK"
"8i8xq","5.31","6.72","7.94","3.00","OK"
"8i8ye","8.40","6.67","7.24","2.85","OK"
"8i8yi","3.08","3.19","2.69","1.38","OK"
"8i8yn","4.49","4.24","4.27","2.60","OK"
"8i8yu","4.04","3.87","2.58","0.00","OK"
"8i8z4","5.31","1.19","5.89","1.71","OK"
"8i8zd","0.00","1.50","0.00","0.00","OK"
"8i8ze","5.53","5.02","5.23","2.63","OK"
"8i8zi","3.25","3.40","3.53","1.99","OK"
"8i903","1.29","4.30","4.33","2.08","OK"
"8i90i","1.00","1.00","1.00","1.00","OK"
"8i90k","8.23","5.79","6.58","2.53","Fraud"
"8i90m","7.06","6.38","6.55","2.76","OK"
"8i91i","7.22","7.15","7.71","4.83","OK"
"8i922","7.77","6.62","7.82","4.84","OK"
"8i92t","6.11","6.00","8.19","5.35","OK"
"8i92u","0.00","0.00","0.00","0.00","OK"
"8i930","6.67","5.65","5.25","1.29","Observation"
"8i932","2.32","2.32","2.32","0.72","OK"
"8i936","6.07","6.51","6.67","3.03","OK"
"8i93o","3.28","4.37","3.81","2.20","OK"
"8i93q","6.57","5.68","6.73","3.45","OK"
"8i941","5.45","1.54","6.07","2.74","OK"
"8i949","6.18","3.43","6.81","4.23","OK"
"8i94e","1.00","0.00","1.00","1.00","OK"
"8i94n","0.00","0.00","0.00","0.00","OK"
"8i94y","2.01","2.69","2.26","0.00","OK"
"8i95z","5.24","5.39","5.27","3.81","OK"
"8i969","5.57","7.01","6.32","3.03","OK"
"8i96u","3.44","4.44","3.77","0.00","OK"
"8i96x","2.70","3.66","2.95","2.26","OK"
"8i98h","1.37","1.92","1.37","0.72","OK"
"8i99h","3.24","3.84","3.31","1.86","OK"
"8i9a2","0.00","0.00","0.00","0.00","OK"
"8i9at","3.11","3.59","3.19","0.91","OK"
"8i9aw","5.83","4.61","5.25","0.46","OK"
"8i9b4","2.25","2.58","2.25","2.25","OK"
"8i9bj","3.70","2.91","3.58","0.67","OK"
"8i9bm","5.55","3.47","4.71","0.16","OK"
"8i9bs","0.00","1.06","0.54","0.54","OK"
"8i9bw","3.50","3.51","2.98","2.55","OK"
"8i9bx","2.84","2.95","1.57","1.09","OK"
"8i9cn","4.13","4.85","5.02","3.31","OK"
"8i9co","4.19","3.24","3.42","0.22","OK"
"8i9cr","4.04","2.91","3.54","0.68","OK"
"8i9d0","1.52","1.92","1.52","0.00","OK"
"8i9d1","0.00","0.00","0.00","0.00","OK"
"8i9d5","4.48","4.42","4.72","0.14","OK"
"8i9da","5.28","3.30","4.77","0.36","OK"
"8i9db","0.00","0.00","0.00","0.00","OK"
"8i9dg","1.58","1.58","1.58","1.58","OK"
"8i9dp","0.00","0.00","0.00","0.00","OK"
"8i9dv","2.59","3.94","3.47","2.31","OK"
"8i9e1","0.00","0.00","0.00","0.00","OK"
"8i9e9","4.65","6.07","5.48","2.08","OK"
"8i9ed","0.00","0.00","0.00","0.00","OK"
"8i9eg","0.00","0.00","0.00","0.00","OK"
"8i9eq","1.58","1.58","0.00","0.00","OK"
"8i9f0","2.00","0.81","0.81","0.81","OK"
"8i9fl","1.37","0.72","2.32","1.37","OK"
"8i9fv","0.00","0.00","0.00","0.00","OK"
"8i9g2","4.14","4.66","4.48","0.00","OK"
"8i9gl","2.00","2.00","2.00","2.00","OK"
"8i9h8","0.00","0.00","0.00","0.00","OK"
"8i9hj","0.00","0.00","0.00","0.00","OK"
"8i9hm","5.87","4.98","2.64","0.08","OK"
"8i9hn","3.95","4.25","2.41","0.38","OK"
"8i9ht","0.14","2.84","5.01","0.00","OK"
"8i9hu","6.48","2.53","4.95","0.35","OK"
"8i9hw","0.00","1.00","1.00","0.00","OK"
"8i9hx","6.64","0.33","5.56","0.00","OK"
"8i9hz","0.00","0.00","0.00","0.00","OK"
"8i9i1","6.08","1.97","6.20","0.00","OK"
"8i9i3","5.50","3.08","5.84","0.01","OK"
"8i9i4","4.61","1.89","3.74","0.00","OK"
"8i9i5","4.93","3.08","6.05","0.02","Observation"
"8i9i7","4.72","4.41","4.79","0.07","OK"
"8i9i9","2.50","1.10","3.97","0.00","OK"
"8i9ia","6.15","1.26","6.43","0.09","OK"
"8i9ib","3.06","1.32","3.57","0.00","OK"
