"partnerid","CntrIdPercent","CntrSgPercent","CntrUsPercent","CntrThPercent","CntrUkPercent","CntrInPercent","CntrOtherPercent","status"
"du3nk","0.00","0.01","0.00","0.00","0.00","0.13","0.85","OK"
"du3nq","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Fraud"
"du3op","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3or","1.00","0.00","0.00","0.00","0.00","0.00","0.00","Observation_New"
"du3ov","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3ox","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3oy","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Observation_New"
"du3oz","0.00","1.00","0.00","0.00","0.00","0.00","0.00","Fraud"
"du3p1","0.00","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"du3r7","0.00","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"du3r8","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3rc","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Fraud"
"du3rf","0.00","1.00","0.00","0.00","0.00","0.00","0.00","Fraud"
"du3rj","0.00","0.00","0.00","0.00","0.00","0.25","0.75","OK"
"du3ro","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"du3rw","0.00","1.00","0.00","0.00","0.00","0.00","0.00","Fraud"
"du3ry","0.00","0.50","0.00","0.00","0.00","0.00","0.50","OK"
"du3s0","0.00","0.67","0.00","0.00","0.00","0.00","0.33","Fraud"
"du3s1","0.00","0.64","0.00","0.00","0.00","0.00","0.36","OK"
"du3s2","0.00","0.00","0.50","0.00","0.00","0.00","0.50","OK"
"du3s3","0.00","0.26","0.00","0.00","0.00","0.00","0.74","OK"
"du3sl","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Observation"
"du3so","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Fraud"
"du3sp","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Fraud"
"du3sq","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Fraud"
"du3sr","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Fraud"
"du3ss","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3t6","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"du3tc","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3td","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3te","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3tf","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3tg","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3th","0.00","0.00","0.00","0.00","0.00","0.25","0.75","OK"
"du3ti","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3tj","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du3ts","0.00","0.57","0.00","0.00","0.00","0.00","0.43","Fraud"
"du3tt","0.00","1.00","0.00","0.00","0.00","0.00","0.00","Fraud"
"du3tu","0.00","0.54","0.00","0.00","0.00","0.00","0.46","Fraud"
"du3tv","0.00","1.00","0.00","0.00","0.00","0.00","0.00","Fraud"
"du3tw","0.00","0.52","0.00","0.00","0.00","0.00","0.48","Fraud"
"du3tx","0.00","1.00","0.00","0.00","0.00","0.00","0.00","Fraud"
"du3tz","0.00","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"du3u1","0.00","0.99","0.00","0.00","0.00","0.00","0.01","OK"
"du3u8","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"du3u9","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Fraud"
"du3ub","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Observation"
"du3uf","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du4og","0.00","0.00","0.01","0.00","0.00","0.00","0.99","OK"
"du4ou","0.00","0.00","0.01","0.00","0.00","0.92","0.07","OK"
"du4p9","0.84","0.00","0.00","0.00","0.00","0.00","0.16","OK"
"du4pg","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"du4pp","0.00","0.00","0.00","0.00","0.00","0.67","0.33","OK"
"du4qr","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"du4qs","0.40","0.00","0.00","0.00","0.00","0.00","0.60","OK"
"du4qv","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"du4r4","0.00","0.00","0.20","0.00","0.05","0.00","0.75","OK"
"du4rc","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du4ri","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du4rj","0.05","0.00","0.00","0.03","0.00","0.80","0.11","OK"
"du4rz","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du4s4","0.00","0.00","0.01","0.00","0.00","0.96","0.03","OK"
"du4s7","0.00","0.00","0.00","0.00","0.00","0.98","0.01","OK"
"du4sk","0.00","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"du4sp","0.02","0.00","0.08","0.03","0.04","0.06","0.78","Fraud"
"du4t1","0.00","0.00","0.38","0.00","0.15","0.00","0.46","OK"
"du4t7","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du4tk","0.00","0.00","0.01","0.00","0.00","0.74","0.24","OK"
"du4tl","0.00","0.00","0.02","0.00","0.00","0.55","0.41","OK"
"du4u9","0.14","0.00","0.10","0.01","0.00","0.12","0.62","Fraud"
"du4uq","0.50","0.01","0.01","0.00","0.00","0.00","0.48","OK"
"du4vd","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du4vr","0.40","0.00","0.10","0.00","0.00","0.20","0.30","OK"
"du4vt","0.24","0.00","0.08","0.02","0.00","0.21","0.44","Fraud"
"du4vx","0.51","0.00","0.00","0.00","0.00","0.01","0.47","OK"
"du4wd","0.67","0.00","0.33","0.00","0.00","0.00","0.00","OK"
"du4wr","0.20","0.00","0.00","0.00","0.00","0.20","0.60","OK"
"du4wy","0.38","0.00","0.13","0.00","0.00","0.13","0.38","OK"
"du4xs","0.00","0.00","0.06","0.00","0.00","0.44","0.50","OK"
"du4xx","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du4y2","0.00","0.00","0.07","0.00","0.00","0.00","0.93","OK"
"du4y5","0.02","0.00","0.01","0.00","0.00","0.53","0.44","OK"
"du4yb","0.00","0.00","0.00","0.00","0.00","0.25","0.75","OK"
"du4yc","0.00","0.00","0.01","0.01","0.00","0.60","0.38","OK"
"du4yd","0.01","0.00","0.01","0.00","0.00","0.73","0.25","OK"
"du4ye","0.01","0.00","0.01","0.00","0.00","0.75","0.22","OK"
"du4yf","0.01","0.00","0.00","0.01","0.00","0.78","0.20","OK"
"du4yi","0.01","0.00","0.01","0.00","0.00","0.78","0.20","OK"
"du4yj","0.01","0.00","0.01","0.00","0.00","0.72","0.26","OK"
"du4z4","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du4za","1.00","0.00","0.00","0.00","0.00","0.00","0.00","Observation_New"
"du4zw","0.00","0.00","0.00","0.00","0.01","0.05","0.94","OK"
"du50a","0.00","0.00","1.00","0.00","0.00","0.00","0.00","OK"
"du518","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"du51w","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du528","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du52a","0.00","0.00","0.00","0.00","0.01","0.00","0.99","OK"
"du52b","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du52c","0.00","0.00","0.09","0.00","0.04","0.00","0.87","Fraud"
"du52d","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du52i","0.71","0.00","0.00","0.00","0.00","0.00","0.29","OK"
"du52y","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"du531","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"du53e","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"du53f","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"du53g","0.09","0.00","0.03","0.03","0.00","0.53","0.33","OK"
"du53k","0.00","0.00","0.02","0.00","0.13","0.01","0.84","Observation"
"du53l","0.01","0.00","0.09","0.00","0.27","0.14","0.49","OK"
"du53o","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"du53q","0.00","0.00","0.00","0.00","0.00","0.80","0.20","OK"
"du53r","0.00","0.00","0.00","0.00","0.00","0.86","0.14","OK"
"du543","0.01","0.00","0.04","0.00","0.01","0.77","0.16","OK"
"du54d","0.74","0.00","0.06","0.00","0.00","0.00","0.20","OK"
"du54j","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"du54m","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du54o","0.00","0.04","0.19","0.20","0.01","0.05","0.51","Fraud"
"du550","0.00","0.00","0.00","0.00","0.00","0.94","0.06","OK"
"du55b","0.00","0.00","0.00","0.00","0.00","0.50","0.50","OK"
"du55f","0.45","0.00","0.09","0.02","0.00","0.07","0.37","OK"
"du55j","0.02","0.00","0.08","0.01","0.08","0.54","0.26","OK"
"du55u","0.08","0.00","0.00","0.16","0.00","0.08","0.68","OK"
"du567","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du56e","0.31","0.01","0.18","0.00","0.01","0.01","0.49","Observation"
"du56s","0.00","0.00","0.00","0.00","0.00","0.99","0.01","OK"
"du56u","0.00","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"du582","0.00","0.00","0.00","0.00","0.01","0.00","0.99","OK"
"du58i","0.08","0.00","0.00","0.04","0.00","0.42","0.45","Fraud"
"du58m","0.27","0.00","0.03","0.01","0.00","0.16","0.53","OK"
"du58o","0.08","0.00","0.01","0.00","0.00","0.40","0.50","OK"
"du58p","0.02","0.00","0.03","0.02","0.00","0.42","0.52","OK"
"du58q","0.15","0.01","0.01","0.00","0.01","0.42","0.41","OK"
"du58r","0.25","0.01","0.03","0.04","0.00","0.34","0.33","Observation"
"du58t","0.10","0.00","0.01","0.00","0.00","0.43","0.46","OK"
"du59f","0.00","0.00","0.00","0.00","0.00","0.00","1.00","Fraud"
"du59q","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du5aj","0.00","0.46","0.00","0.00","0.00","0.00","0.54","OK"
"du5au","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du5b8","0.13","0.00","0.05","0.00","0.00","0.69","0.13","OK"
"du5be","0.80","0.00","0.00","0.00","0.00","0.00","0.20","OK"
"du5bm","0.00","0.00","0.00","0.00","0.00","0.05","0.95","OK"
"du5c0","0.50","0.00","0.00","0.00","0.00","0.00","0.50","OK"
"du5cc","0.05","0.00","0.03","0.03","0.00","0.68","0.22","OK"
"du5cg","0.13","0.00","0.13","0.00","0.00","0.50","0.25","OK"
"du5ci","0.15","0.00","0.22","0.00","0.04","0.15","0.44","OK"
"du5dx","0.00","0.00","0.00","0.00","0.08","0.88","0.04","OK"
"du5f5","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du5f7","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du5fl","0.00","0.00","0.00","0.07","0.00","0.00","0.93","OK"
"du5ft","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du5fy","0.00","0.72","0.00","0.00","0.00","0.00","0.28","OK"
"du5g9","0.00","0.01","0.00","0.01","0.00","0.80","0.18","OK"
"du5gy","0.00","0.00","0.00","0.00","0.01","0.01","0.98","OK"
"du5gz","0.00","0.00","0.00","0.00","0.10","0.00","0.90","OK"
"du5h0","0.00","0.00","0.00","0.00","0.00","0.90","0.10","OK"
"du5h8","0.00","0.00","0.00","0.00","0.00","0.32","0.68","OK"
"du5h9","0.00","0.00","0.00","0.00","0.06","0.13","0.81","OK"
"du5hg","0.00","0.00","0.00","0.00","0.00","0.50","0.50","OK"
"du5hm","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du5hu","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du5i4","0.69","0.02","0.24","0.00","0.00","0.00","0.05","OK"
"du5i8","0.01","0.00","0.00","0.01","0.00","0.73","0.26","OK"
"du5ic","0.00","0.25","0.25","0.00","0.00","0.00","0.50","OK"
"du5if","1.00","0.00","0.00","0.00","0.00","0.00","0.00","Observation_New"
"du5ik","0.00","0.00","0.02","0.00","0.00","0.84","0.13","OK"
"du5je","0.01","0.01","0.03","0.00","0.00","0.76","0.19","OK"
"du5jq","0.25","0.00","0.02","0.00","0.00","0.46","0.27","OK"
"du5k8","0.84","0.00","0.00","0.00","0.00","0.05","0.11","OK"
"du5kg","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"du5kz","0.00","0.63","0.00","0.00","0.00","0.00","0.37","OK"
"du5l0","0.00","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"du5l4","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"du5lb","0.00","0.00","0.00","0.04","0.00","0.00","0.96","OK"
"du5li","0.00","0.00","0.15","0.00","0.00","0.00","0.85","OK"
"du5ll","0.00","0.00","0.06","0.02","0.01","0.07","0.84","Observation"
"du5lm","0.00","0.00","0.11","0.02","0.02","0.22","0.63","Observation"
