"partnerid","CntrIdPercent","CntrSgPercent","CntrUsPercent","CntrThPercent","CntrUkPercent","CntrInPercent","status"
"8i7uk","0.01","0.00","0.06","0.00","0.02","0.25","OK"
"8i7ux","0.39","0.02","0.00","0.00","0.00","0.06","OK"
"8i7va","0.00","0.00","0.00","0.00","0.00","0.63","OK"
"8i7vb","0.00","0.00","0.09","0.00","0.00","0.73","OK"
"8i7vf","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i7vp","0.00","0.00","0.00","0.00","0.00","0.01","OK"
"8i7vq","0.00","0.00","0.01","0.00","0.00","0.01","OK"
"8i7vz","0.34","0.00","0.00","0.00","0.00","0.49","OK"
"8i7w2","0.79","0.00","0.02","0.03","0.02","0.00","OK"
"8i7wb","0.25","0.01","0.01","0.02","0.00","0.35","OK"
"8i7wi","0.00","0.00","0.01","0.00","0.00","0.86","OK"
"8i7wr","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i7wv","0.99","0.01","0.00","0.00","0.00","0.01","OK"
"8i7xd","0.94","0.02","0.02","0.00","0.00","0.00","Observation"
"8i7yy","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i7z7","0.96","0.00","0.00","0.00","0.00","0.00","OK"
"8i7zf","0.67","0.00","0.00","0.00","0.00","0.00","OK"
"8i7zk","0.00","0.00","0.00","0.00","0.02","0.00","OK"
"8i7zl","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i804","0.00","0.00","0.00","0.00","0.00","0.07","OK"
"8i806","0.54","0.00","0.02","0.00","0.00","0.14","OK"
"8i80a","0.02","0.00","0.01","0.01","0.02","0.63","OK"
"8i80j","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i81d","0.00","0.00","0.07","0.00","0.00","0.93","OK"
"8i81i","0.00","0.10","0.00","0.00","0.00","0.40","OK"
"8i828","0.81","0.09","0.01","0.00","0.00","0.00","OK"
"8i82g","0.00","0.00","0.00","0.00","0.00","0.71","OK"
"8i82r","0.50","0.00","0.00","0.00","0.00","0.00","OK"
"8i82x","0.00","0.00","0.00","0.00","0.00","0.67","OK"
"8i830","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i833","0.02","0.00","0.00","0.00","0.00","0.00","OK"
"8i83a","0.50","0.00","0.00","0.00","0.00","0.50","OK"
"8i83y","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i84n","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i84o","0.00","0.00","0.00","0.00","0.00","0.83","OK"
"8i84w","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i85v","0.49","0.00","0.00","0.01","0.00","0.48","OK"
"8i86i","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i88w","0.04","0.00","0.00","0.00","0.06","0.00","OK"
"8i89m","0.00","0.00","0.00","0.50","0.00","0.00","OK"
"8i8ar","0.14","0.00","0.00","0.14","0.00","0.00","OK"
"8i8bx","0.08","0.00","0.19","0.04","0.00","0.29","OK"
"8i8cj","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8do","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8e5","0.00","0.00","0.00","0.06","0.00","0.01","OK"
"8i8e7","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8ef","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8en","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8fk","0.00","0.13","0.00","0.16","0.00","0.10","OK"
"8i8fm","0.00","0.00","0.00","0.03","0.02","0.06","Observation"
"8i8fn","0.00","0.04","0.00","0.14","0.00","0.11","OK"
"8i8fq","0.00","0.06","0.00","0.06","0.00","0.04","OK"
"8i8ft","0.00","0.10","0.00","0.00","0.00","0.00","OK"
"8i8g3","0.00","0.00","0.00","0.50","0.00","0.00","OK"
"8i8go","0.00","0.02","0.01","0.02","0.00","0.00","Observation"
"8i8gu","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"8i8gx","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"8i8gz","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8h2","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8h7","0.00","0.00","0.00","0.89","0.00","0.00","Fraud"
