"partnerid","CntrOtherPercent","status"
"8i7uk","0.66","OK"
"8i7ux","0.53","OK"
"8i7va","0.38","OK"
"8i7vb","0.18","OK"
"8i7vf","0.00","OK"
"8i7vp","0.98","OK"
"8i7vq","0.97","OK"
"8i7vz","0.16","OK"
"8i7w2","0.15","OK"
"8i7wb","0.35","OK"
"8i7wi","0.13","OK"
"8i7wr","0.99","OK"
"8i7wv","0.00","OK"
"8i7xd","0.02","Observation"
"8i7yy","1.00","OK"
"8i7z7","0.04","OK"
"8i7zf","0.33","OK"
"8i7zk","0.98","OK"
"8i7zl","1.00","OK"
"8i804","0.93","OK"
"8i806","0.29","OK"
"8i80a","0.30","OK"
"8i80j","1.00","OK"
"8i81d","0.00","OK"
"8i81i","0.50","OK"
"8i828","0.07","OK"
"8i82g","0.29","OK"
"8i82r","0.50","OK"
"8i82x","0.33","OK"
"8i830","1.00","OK"
"8i833","0.98","OK"
"8i83a","0.00","OK"
"8i83y","1.00","OK"
"8i84n","1.00","OK"
"8i84o","0.17","OK"
"8i84w","1.00","OK"
"8i85v","0.02","OK"
"8i86i","1.00","OK"
"8i88w","0.90","OK"
"8i89m","0.50","OK"
"8i8ar","0.71","OK"
"8i8bx","0.40","OK"
"8i8cj","1.00","OK"
"8i8do","1.00","OK"
"8i8e5","0.93","OK"
"8i8e7","0.00","OK"
"8i8ef","1.00","OK"
"8i8en","1.00","OK"
"8i8fk","0.61","OK"
"8i8fm","0.89","Observation"
"8i8fn","0.71","OK"
"8i8fq","0.85","OK"
"8i8ft","0.90","OK"
"8i8g3","0.50","OK"
"8i8go","0.95","Observation"
"8i8gu","0.00","OK"
"8i8gx","0.00","OK"
"8i8gz","1.00","OK"
"8i8h2","1.00","OK"
"8i8h7","0.11","Fraud"
"8i8hw","0.00","OK"
"8i8ih","1.00","OK"
"8i8is","0.90","OK"
"8i8iv","0.60","OK"
"8i8j2","0.94","OK"
"8i8jl","0.67","OK"
"8i8k3","0.82","OK"
"8i8kg","1.00","OK"
"8i8ku","1.00","OK"
"8i8le","0.56","OK"
"8i8lx","0.00","OK"
"8i8m6","0.68","OK"
"8i8mq","0.00","OK"
"8i8mr","0.00","OK"
"8i8n6","0.00","OK"
"8i8no","0.00","OK"
"8i8nq","0.00","OK"
"8i8nr","0.06","OK"
"8i8oh","0.00","OK"
"8i8p1","0.00","OK"
"8i8pz","0.00","OK"
"8i8q4","0.00","OK"
"8i8qk","0.20","OK"
"8i8qn","0.00","OK"
"8i8rs","0.00","OK"
"8i8s9","0.00","OK"
"8i8t2","1.00","OK"
"8i8tt","0.18","Observation"
"8i8tw","0.67","OK"
"8i8u1","0.33","OK"
"8i8u7","0.00","OK"
"8i8u8","0.00","OK"
"8i8ub","0.00","OK"
"8i8ui","0.78","OK"
"8i8wd","0.00","OK"
"8i8xq","0.49","OK"
"8i8ye","0.30","OK"
"8i8yi","0.42","OK"
"8i8yn","0.48","OK"
"8i8yu","0.00","OK"
"8i8z4","0.25","OK"
"8i8zd","1.00","OK"
"8i8ze","0.73","OK"
"8i8zi","0.47","OK"
"8i903","0.46","OK"
"8i90i","0.50","OK"
