"partnerid","AvgClickAtMorning","AvgClickAtAfternoon","AvgClickAtEvening","AvgClickAtNight","MaxClickAtMorning","MaxClickAtAfternoon","MaxClickAtEvening","MaxClickAtNight","SkewAtMorning","SkewAtAfternoon","SkewAtEvening","SkewAtNight","TimeatVarianceAtMorning","TimeatVarianceAtAfternoon","TimeatVarianceAtEvening","TimeatVarianceAtNight","status"
"8i7uk","6.67","7.33","7.67","9.33","10","10","15","15","-0.17","-0.65","0.63","0.67","6.00","9.56","27.56","16.22","OK"
"8i7ux","11.00","15.00","20.67","35.33","13","21","26","45","0.00","0.32","-0.38","-0.59","6.22","20.67","24.89","106.89","OK"
"8i7va","1.00","1.00","1.00","1.33","1","1","1","2",\N,\N,\N,"0.71","0.00","0.00","0.00","0.22","OK"
"8i7vb","2.00",\N,"2.50","4.00","2",\N,"3","4",\N,\N,"0.00",\N,"0.00",\N,"0.25","0.00","OK"
"8i7vf",\N,\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i7vp","179.00","103.00","102.50","1077.33","191","148","204","1728","0.00","0.00","0.00","-0.66","28206.89","2025.00","10302.25","587684.22","OK"
"8i7vq","167.33","126.33","152.00","195.00","245","215","220","294","-0.68","-0.01","-0.69","-0.70","16296.22","5280.89","7242.67","16254.00","OK"
"8i7vz","12.67","21.00","16.67","57.67","14","31","23","71","-0.38","-0.17","-0.50","-0.69","2.89","74.00","40.22","281.56","OK"
"8i7w2","4.67","9.00","4.00","21.00","6","19","6","26","-0.38","0.55","0.00","-0.32","3.56","52.67","2.67","20.67","OK"
"8i7wb","12.00","18.67","18.00","41.00","16","28","19","46","0.47","0.14","0.00","-0.32","10.89","54.22","0.67","20.67","OK"
"8i7wi","74.67","137.33","137.33","151.33","80","160","157","153","-0.70","-0.47","-0.71","0.38","110.89","497.56","734.89","1.56","OK"
"8i7wr","50.00","79.00","105.00","216.67","55","94","138","262","0.38","-0.58","0.68","0.28","14.89","252.67","548.67","1198.22","OK"
"8i7wv","7.00","19.00","20.67","8.33","14","35","28","10","0.69","0.69","-0.29","-0.53","22.22","128.67","43.56","2.89","OK"
"8i7xd","8.67","10.33","81.67","19.33","20","22","130","41","0.67","0.38","-0.66","0.69","64.89","76.22","3221.56","236.22","Observation"
"8i7yy",\N,"1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00","OK"
