"partnerid","CntrIdPercent","CntrSgPercent","CntrUsPercent","CntrThPercent","CntrUkPercent","CntrInPercent","CntrOtherPercent","status"
"8i7t3","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i7u1","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i7um","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i7ux","0.41","0.02","0.10","0.00","0.00","0.06","0.41","OK"
"8i7va","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"8i7vb","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"8i7vf","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"8i7vq","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i7vz","0.37","0.00","0.02","0.00","0.00","0.45","0.16","OK"
"8i7w2","0.63","0.00","0.15","0.00","0.00","0.00","0.22","OK"
"8i7wb","0.30","0.00","0.04","0.01","0.00","0.28","0.37","OK"
"8i7wi","0.00","0.00","0.01","0.00","0.00","0.85","0.14","OK"
"8i7wr","0.00","0.00","0.00","0.00","0.01","0.00","0.99","OK"
"8i7wv","0.99","0.00","0.00","0.00","0.00","0.00","0.01","OK"
"8i7xd","0.97","0.00","0.01","0.00","0.00","0.00","0.01","Observation"
"8i7z7","0.98","0.00","0.00","0.00","0.00","0.00","0.02","OK"
"8i7zf","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i7zk","0.00","0.00","0.01","0.00","0.02","0.00","0.97","OK"
"8i7zl","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i804","0.00","0.00","0.00","0.00","0.00","0.07","0.93","OK"
"8i806","0.47","0.00","0.02","0.02","0.00","0.08","0.41","OK"
"8i80a","0.03","0.00","0.01","0.02","0.01","0.68","0.25","OK"
"8i81d","0.00","0.00","0.00","0.00","0.00","0.89","0.11","OK"
"8i81i","0.00","0.00","0.00","0.00","0.00","0.60","0.40","OK"
"8i828","0.90","0.00","0.01","0.00","0.00","0.00","0.09","OK"
"8i82g","0.00","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"8i82r","0.89","0.00","0.00","0.00","0.00","0.00","0.11","OK"
"8i833","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i83a","0.25","0.00","0.00","0.00","0.00","0.75","0.00","OK"
"8i83y","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i84n","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i84o","0.03","0.00","0.00","0.00","0.03","0.61","0.33","OK"
"8i84w","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i85b","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i85h","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i85o","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i85v","0.72","0.00","0.00","0.00","0.00","0.25","0.03","OK"
"8i88a","0.00","0.00","0.00","1.00","0.00","0.00","0.00","OK"
"8i88w","0.02","0.02","0.14","0.00","0.00","0.05","0.77","OK"
"8i89m","0.00","0.00","0.00","1.00","0.00","0.00","0.00","OK"
"8i89q","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8ar","0.00","0.00","0.00","0.50","0.00","0.00","0.50","OK"
"8i8as","0.01","0.00","0.00","0.02","0.00","0.00","0.97","OK"
"8i8az","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8bx","0.14","0.00","0.11","0.02","0.01","0.40","0.32","OK"
"8i8do","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8e5","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8ef","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8en","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8f4","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8f5","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8f7","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8fk","0.00","0.00","0.00","0.02","0.04","0.02","0.92","OK"
"8i8fm","0.00","0.00","0.00","0.02","0.03","0.01","0.93","Fraud"
"8i8fn","0.00","0.01","0.00","0.15","0.01","0.00","0.84","OK"
"8i8fq","0.00","0.00","0.00","0.05","0.03","0.01","0.91","OK"
"8i8ft","0.00","0.00","0.00","0.06","0.00","0.00","0.94","OK"
"8i8g3","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8go","0.00","0.00","0.00","0.00","0.01","0.00","0.98","Observation"
"8i8gu","0.00","0.00","0.00","1.00","0.00","0.00","0.00","OK"
"8i8gx","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8gz","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8h2","0.00","0.00","0.00","0.25","0.00","0.00","0.75","OK"
"8i8h7","0.00","0.00","0.00","0.89","0.00","0.00","0.11","OK"
"8i8hw","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8i9","0.00","0.00","0.00","0.40","0.00","0.00","0.60","OK"
"8i8is","0.00","0.00","0.00","0.02","0.00","0.01","0.97","Observation"
"8i8iv","0.05","0.05","0.00","0.33","0.00","0.02","0.56","OK"
"8i8j2","0.07","0.00","0.00","0.07","0.00","0.00","0.85","OK"
"8i8ji","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8k3","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8k4","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8kf","0.00","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8kg","0.00","0.00","0.00","0.43","0.00","0.00","0.57","OK"
"8i8ku","0.00","0.00","0.00","0.20","0.00","0.00","0.80","OK"
"8i8le","0.42","0.00","0.15","0.00","0.00","0.03","0.39","OK"
"8i8m6","0.00","0.00","0.08","0.00","0.00","0.75","0.17","OK"
"8i8n6","0.00","0.00","0.89","0.00","0.00","0.00","0.11","OK"
"8i8no","0.98","0.00","0.00","0.00","0.00","0.00","0.02","OK"
"8i8nq","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8nr","0.00","0.00","0.00","0.00","0.00","0.91","0.09","OK"
"8i8p1","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8pz","1.00","0.00","0.00","0.00","0.00","0.00","0.00","OK"
