"partnerid","AvgClickAtMorning","AvgClickAtAfternoon","AvgClickAtEvening","AvgClickAtNight","MaxClickAtMorning","MaxClickAtAfternoon","MaxClickAtEvening","MaxClickAtNight","SkewAtMorning","SkewAtAfternoon","SkewAtEvening","SkewAtNight","TimeatVarianceAtMorning","TimeatVarianceAtAfternoon","TimeatVarianceAtEvening","TimeatVarianceAtNight","status"
"8i7t3",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i7u1",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i7um",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i7ux","35.00","43.00","49.67","44.33","37","53","67","54","0.00","-0.17","0.59","0.46","11.56","74.00","156.22","50.89","OK"
"8i7va",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i7vb",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i7vf",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i7vq",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i7vz","14.67","31.33","21.00","46.67","19","35","24","49","0.65","-0.68","0.00","0.53","9.56","20.22","6.00","2.89","OK"
"8i7w2","2.67","3.67","6.67","8.67","4","4","12","11","-0.38","-0.71","-0.11","-0.24","1.56","0.22","20.22","4.22","OK"
"8i7wb","14.67","26.00","22.33","65.33","20","29","31","78","0.57","0.60","0.29","0.61","26.89","4.67","43.56","82.89","OK"
"8i7wi","23.33","77.00","88.50","102.00","67","81","155","132","0.71","-0.60","0.00","-0.61","934.22","18.67","4422.25","1090.67","OK"
"8i7wr","60.00","82.00","97.67","166.33","83","100","109","182","0.49","0.60","-0.58","0.04","513.56","168.00","144.89","160.22","OK"
"8i7wv","9.33","12.67","13.67","13.00","11","16","26","16","-0.53","-0.17","0.55","-0.47","4.67","8.22","80.22","8.67","OK"
