"partnerid","distinct category","partnerid_cnt","CategoryPrior"
"8i7t3","1","1","1.000000000"
"8i7u1","1","1","1.000000000"
"8i7um","1","1","1.000000000"
"8i7ux","1","516","516.000000000"
"8i7va","1","1","1.000000000"
"8i7vb","1","1","1.000000000"
"8i7vf","1","1","1.000000000"
"8i7vq","1","1","1.000000000"
"8i7vz","1","341","341.000000000"
"8i7w2","1","65","65.000000000"
"8i7wb","1","385","385.000000000"
"8i7wi","1","784","784.000000000"
"8i7wr","1","1218","1218.000000000"
"8i7wv","1","146","146.000000000"
"8i7xd","1","649","649.000000000"
"8i7z7","1","52","52.000000000"
"8i7zf","1","1","1.000000000"
"8i7zk","1","564","564.000000000"
"8i7zl","1","1031","1031.000000000"
"8i804","1","29","29.000000000"
"8i806","1","1860","1860.000000000"
"8i80a","1","948","948.000000000"
"8i81d","1","9","9.000000000"
"8i81i","1","5","5.000000000"
"8i828","1","3068","3068.000000000"
"8i82g","1","3","3.000000000"
"8i82r","1","18","18.000000000"
"8i833","1","22","22.000000000"
"8i83a","1","4","4.000000000"
"8i83y","1","1","1.000000000"
"8i84n","1","24","24.000000000"
"8i84o","1","33","33.000000000"
"8i84w","1","3","3.000000000"
"8i85b","1","3","3.000000000"
"8i85h","1","1","1.000000000"
"8i85o","1","1","1.000000000"
"8i85v","1","96","96.000000000"
"8i88a","1","1","1.000000000"
"8i88w","1","44","44.000000000"
"8i89m","1","2","2.000000000"
"8i89q","1","1","1.000000000"
"8i8ar","1","6","6.000000000"
"8i8as","1","160","160.000000000"
"8i8az","1","1","1.000000000"
"8i8bx","1","104","104.000000000"
"8i8do","1","2","2.000000000"
"8i8e5","1","80","80.000000000"
"8i8ef","1","4","4.000000000"
"8i8en","1","4","4.000000000"
"8i8f4","1","3","3.000000000"
"8i8f5","1","1","1.000000000"
"8i8f7","1","1","1.000000000"
"8i8fk","1","204","204.000000000"
"8i8fm","1","834","834.000000000"
"8i8fn","1","149","149.000000000"
"8i8fq","1","257","257.000000000"
"8i8ft","1","96","96.000000000"
"8i8g3","1","9","9.000000000"
"8i8go","1","472","472.000000000"
"8i8gu","1","1","1.000000000"
"8i8gx","1","1","1.000000000"
"8i8gz","1","2","2.000000000"
"8i8h2","1","12","12.000000000"
"8i8h7","1","90","90.000000000"
"8i8hw","1","3","3.000000000"
"8i8i9","1","5","5.000000000"
"8i8is","1","385","385.000000000"
"8i8iv","1","43","43.000000000"
"8i8j2","1","27","27.000000000"
"8i8ji","1","1","1.000000000"
"8i8k3","1","11","11.000000000"
"8i8k4","1","2","2.000000000"
"8i8kf","1","1","1.000000000"
"8i8kg","1","7","7.000000000"
"8i8ku","1","10","10.000000000"
"8i8le","1","33","33.000000000"
"8i8m6","1","60","60.000000000"
"8i8n6","1","9","9.000000000"
"8i8no","1","58","58.000000000"
"8i8nq","1","1","1.000000000"
"8i8nr","1","65","65.000000000"
"8i8p1","1","13","13.000000000"
"8i8pz","1","3","3.000000000"
"8i8q4","1","63","63.000000000"
"8i8s8","1","1020","1020.000000000"
"8i8t2","1","4","4.000000000"
"8i8tt","1","120","120.000000000"
"8i8tu","1","1","1.000000000"
"8i8u1","1","5","5.000000000"
"8i8u8","1","43","43.000000000"
"8i8ub","1","150","150.000000000"
"8i8ui","1","4","4.000000000"
"8i8wd","1","5","5.000000000"
"8i8x2","1","197","197.000000000"
"8i8xn","1","2","2.000000000"
"8i8xq","1","1000","1000.000000000"
"8i8ye","1","4356","4356.000000000"
"8i8yi","1","12","12.000000000"
"8i8yn","1","36","36.000000000"
"8i8yu","1","32","32.000000000"
"8i8z4","1","2892","2892.000000000"
"8i8zd","1","93","93.000000000"
"8i8ze","1","291","291.000000000"
"8i8zi","1","21","21.000000000"
"8i903","1","45","45.000000000"
"8i90k","1","5289","5289.000000000"
"8i91i","1","8341","8341.000000000"
"8i922","1","14605","14605.000000000"
"8i92s","1","3","3.000000000"
"8i92t","1","6902","6902.000000000"
"8i92u","1","1","1.000000000"
"8i930","1","816","816.000000000"
"8i936","1","1100","1100.000000000"
"8i93q","1","162","162.000000000"
"8i941","1","188","188.000000000"
"8i949","1","476","476.000000000"
"8i94e","1","3","3.000000000"
"8i94y","1","8","8.000000000"
"8i95z","1","55","55.000000000"
"8i969","1","383","383.000000000"
"8i96u","1","131","131.000000000"
"8i96x","1","21","21.000000000"
"8i98h","1","1","1.000000000"
"8i99h","1","15","15.000000000"
"8i9at","1","14","14.000000000"
"8i9aw","1","335","335.000000000"
"8i9b4","1","1","1.000000000"
"8i9bj","1","42","42.000000000"
"8i9bm","1","419","419.000000000"
"8i9bx","1","20","20.000000000"
"8i9cn","1","42","42.000000000"
"8i9co","1","21","21.000000000"
"8i9cr","1","19","19.000000000"
"8i9d0","1","1","1.000000000"
"8i9d1","1","2","2.000000000"
"8i9d5","1","21","21.000000000"
"8i9da","1","261","261.000000000"
"8i9db","1","1","1.000000000"
"8i9dg","1","8","8.000000000"
"8i9dp","1","1","1.000000000"
"8i9dv","1","22","22.000000000"
"8i9e9","1","137","137.000000000"
"8i9f0","1","6","6.000000000"
"8i9fl","1","5","5.000000000"
"8i9g2","1","44","44.000000000"
"8i9g5","1","1","1.000000000"
"8i9gl","1","5","5.000000000"
"8i9h8","1","2","2.000000000"
"8i9hm","1","86","86.000000000"
"8i9hn","1","15","15.000000000"
"8i9hp","1","1","1.000000000"
"8i9ht","1","8","8.000000000"
"8i9hu","1","853","853.000000000"
"8i9hw","1","67","67.000000000"
"8i9hx","1","136","136.000000000"
"8i9hz","1","2","2.000000000"
"8i9i1","1","495","495.000000000"
"8i9i3","1","3486","3486.000000000"
"8i9i4","1","156","156.000000000"
"8i9i5","1","131","131.000000000"
"8i9i6","1","170","170.000000000"
"8i9i7","1","147","147.000000000"
"8i9i9","1","133","133.000000000"
"8i9ia","1","132","132.000000000"
"8i9ib","1","4","4.000000000"
"8i9ic","1","2049","2049.000000000"
"8i9id","1","183","183.000000000"
"8i9ie","1","514","514.000000000"
"8i9ig","1","153","153.000000000"
"8i9ih","1","178","178.000000000"
"8i9ii","1","697","697.000000000"
"8i9ij","1","741","741.000000000"
"8i9ik","1","1239","1239.000000000"
"8i9im","1","98","98.000000000"
"8i9in","1","1592","1592.000000000"
"8i9j4","1","80","80.000000000"
"8i9j6","1","2769","2769.000000000"
"8i9jf","1","41","41.000000000"
"8i9jg","1","40","40.000000000"
"8i9ji","1","50","50.000000000"
"8i9jj","1","1202","1202.000000000"
"8i9k1","1","2","2.000000000"
"8i9kq","1","550","550.000000000"
"8i9me","1","7","7.000000000"
"8i9mo","1","2","2.000000000"
"8i9mv","1","1","1.000000000"
"8i9nd","1","6","6.000000000"
"8i9ng","1","9","9.000000000"
"8i9no","1","1","1.000000000"
"8i9np","1","84","84.000000000"
"8i9oh","1","1","1.000000000"
"8i9ot","1","1757","1757.000000000"
"8i9oz","1","2","2.000000000"
"8i9p1","1","5","5.000000000"
"8i9p3","1","4","4.000000000"
"8i9p4","1","3","3.000000000"
"8i9p7","1","40","40.000000000"
"8i9p8","1","50","50.000000000"
"8i9pt","1","4","4.000000000"
"8i9ql","1","4006","4006.000000000"
"8i9qu","1","144","144.000000000"
"8i9s9","1","278","278.000000000"
"8i9sm","1","14","14.000000000"
"8i9t0","1","1","1.000000000"
"8i9tt","1","26","26.000000000"
"8i9u6","1","3","3.000000000"
"8i9uj","1","1","1.000000000"
"8i9vn","1","65","65.000000000"
"8i9ws","1","1931","1931.000000000"
"8i9xb","1","33","33.000000000"
"8i9z5","1","41","41.000000000"
"8i9z6","1","8","8.000000000"
"8i9z7","1","2","2.000000000"
"8i9zb","1","46","46.000000000"
"8i9zg","1","1","1.000000000"
"8i9zp","1","523","523.000000000"
"8i9zy","1","18","18.000000000"
"8ia0j","1","26","26.000000000"
"8ia11","1","35","35.000000000"
"8ia16","1","179","179.000000000"
"8ia19","1","8","8.000000000"
"8ia1e","1","11","11.000000000"
"8ia51","1","33","33.000000000"
"8ia5g","1","1","1.000000000"
"8ia62","1","30","30.000000000"
"8ia6z","1","6","6.000000000"
"8ia7h","1","39","39.000000000"
"8ia7p","1","21","21.000000000"
"8ia7z","1","5","5.000000000"
"8ia80","1","694","694.000000000"
"8ia8k","1","1","1.000000000"
"8ia8u","1","129","129.000000000"
"8ia99","1","3","3.000000000"
"8ia9b","1","35","35.000000000"
"8ia9m","1","279","279.000000000"
"8ia9n","1","1","1.000000000"
"8iaa0","1","2","2.000000000"
"8iaa6","1","6","6.000000000"
"8iaar","1","164","164.000000000"
"8iaay","1","97","97.000000000"
"8iaaz","1","11","11.000000000"
"8iab9","1","5","5.000000000"
"8iabd","1","7","7.000000000"
"8iabk","1","1","1.000000000"
"8iabp","1","133","133.000000000"
"8iac6","1","638","638.000000000"
"8iacl","1","239","239.000000000"
"8iact","1","39","39.000000000"
"8iadl","1","1","1.000000000"
"8iadn","1","163","163.000000000"
"8iadr","1","24150","24150.000000000"
"8iadt","1","3179","3179.000000000"
"8iadw","1","1","1.000000000"
"8iaem","1","1","1.000000000"
"8iafg","1","75","75.000000000"
"8iafi","1","8","8.000000000"
"8iagk","1","28","28.000000000"
"8iagp","1","4","4.000000000"
"8iagv","1","59","59.000000000"
"8iah0","1","1","1.000000000"
"8iaim","1","3","3.000000000"
"8iaj2","1","281","281.000000000"
"8iajz","1","3","3.000000000"
"8iaks","1","4","4.000000000"
"8iaku","1","2","2.000000000"
"8ialk","1","4","4.000000000"
"8ialy","1","15","15.000000000"
"8iam0","1","23","23.000000000"
"8iam4","1","4","4.000000000"
"8iam8","1","1","1.000000000"
"8iamd","1","8331","8331.000000000"
"8iaq0","1","2","2.000000000"
"8iaq5","1","1","1.000000000"
"8iaqa","1","1","1.000000000"
"8iaqk","1","1","1.000000000"
"8iaqm","1","1","1.000000000"
"8iaqp","1","28","28.000000000"
"8iaqy","1","3","3.000000000"
"8iar6","1","3","3.000000000"
"8iark","1","6","6.000000000"
"8iaru","1","19","19.000000000"
"8iasq","1","304","304.000000000"
"8iasz","1","142","142.000000000"
"8iata","1","184","184.000000000"
"8iatv","1","147","147.000000000"
"8iau4","1","79","79.000000000"
"8iau5","1","35","35.000000000"
"8iau7","1","38","38.000000000"
"8iauu","1","6026","6026.000000000"
"8iavq","1","4317","4317.000000000"
"8iavx","1","74","74.000000000"
"8iawe","1","1","1.000000000"
"8iawh","1","18","18.000000000"
"8iaxa","1","2","2.000000000"
"8iaxj","1","57141","57141.000000000"
"8iayp","1","2","2.000000000"
"8iazm","1","1062","1062.000000000"
"8ib0l","1","469","469.000000000"
"8ib12","1","38","38.000000000"
"8ib14","1","6","6.000000000"
"8ib16","1","181","181.000000000"
"8ib1j","1","1","1.000000000"
"8ib1t","1","22","22.000000000"
"8ib1v","1","3","3.000000000"
"8ib25","1","11","11.000000000"
"8ib26","1","3","3.000000000"
"8ib2w","1","11","11.000000000"
"8ib46","1","1","1.000000000"
"8ib4v","1","10","10.000000000"
"8ib4y","1","43","43.000000000"
"8ib4z","1","510","510.000000000"
"8ib56","1","1387","1387.000000000"
"8ib58","1","2","2.000000000"
"8ib5i","1","1394","1394.000000000"
"8ib63","1","2","2.000000000"
"8ib6f","1","3","3.000000000"
"8ib6i","1","3","3.000000000"
"8ib6x","1","442","442.000000000"
"8ib7g","1","408","408.000000000"
"8ib7h","1","35","35.000000000"
"8ib7i","1","2","2.000000000"
"8ib8c","1","1","1.000000000"
"8ib9m","1","1","1.000000000"
"8ib9r","1","1","1.000000000"
"8iba4","1","1","1.000000000"
"8ibah","1","1912","1912.000000000"
"8ibam","1","3","3.000000000"
"8ibbr","1","44","44.000000000"
"8ibbv","1","3","3.000000000"
"8ibcv","1","137","137.000000000"
"8ibdg","1","408","408.000000000"
"8ibdl","1","21","21.000000000"
"8ibdm","1","5882","5882.000000000"
"8ibdw","1","1","1.000000000"
"8ibf5","1","4","4.000000000"
"8ibg2","1","23","23.000000000"
"8ibgj","1","2","2.000000000"
"8ibgo","1","7","7.000000000"
"8ibgx","1","24","24.000000000"
"8ibhn","1","4","4.000000000"
"8ibid","1","86","86.000000000"
"8ibiw","1","3","3.000000000"
"8ibjf","1","459","459.000000000"
"8ibjo","1","70","70.000000000"
"8ibkr","1","2790","2790.000000000"
"8ibkt","1","1","1.000000000"
"8ibmd","1","2","2.000000000"
"8ibmg","1","1","1.000000000"
"8ibmq","1","3","3.000000000"
"8ibmx","1","6","6.000000000"
"8ibn2","1","2","2.000000000"
"8ibo7","1","2","2.000000000"
"8iboj","1","1","1.000000000"
"8ibop","1","6","6.000000000"
"8ibp9","1","8","8.000000000"
"8ibph","1","1","1.000000000"
"8ibpi","1","1","1.000000000"
"8ibr7","1","2","2.000000000"
"8ibt9","1","52","52.000000000"
"8ibtd","1","1","1.000000000"
"8ibug","1","105","105.000000000"
"8ibum","1","107","107.000000000"
"8ibup","1","558","558.000000000"
"8ibv4","1","2888","2888.000000000"
"8ibw8","1","726","726.000000000"
"8ibxb","1","50","50.000000000"
"8iby6","1","1","1.000000000"
"8ic07","1","6","6.000000000"
"8ic0m","1","1462","1462.000000000"
"8ic0y","1","55","55.000000000"
"8ic1e","1","3","3.000000000"
"8ic1s","1","16","16.000000000"
"8ic1t","1","114","114.000000000"
"8ic26","1","1078","1078.000000000"
"8ic2a","1","60","60.000000000"
"8ic2e","1","1","1.000000000"
"8ic3a","1","9","9.000000000"
"8ic3o","1","58","58.000000000"
"8ic3w","1","3","3.000000000"
"8ic46","1","70","70.000000000"
"8ic4i","1","20","20.000000000"
"8ic4v","1","730","730.000000000"
"8ic51","1","1","1.000000000"
"8ic55","1","3","3.000000000"
"8ic56","1","8","8.000000000"
"8ic59","1","3","3.000000000"
"8ic5b","1","8","8.000000000"
"8ic63","1","1","1.000000000"
"8ic6b","1","47","47.000000000"
"8ic6d","1","7","7.000000000"
"8ic78","1","1","1.000000000"
"8ic7z","1","10","10.000000000"
"8ic8g","1","1","1.000000000"
"8ic9a","1","12","12.000000000"
"8ic9l","1","60","60.000000000"
"8ic9x","1","4","4.000000000"
"8ica0","1","6","6.000000000"
"8ica1","1","32","32.000000000"
"8icam","1","47","47.000000000"
"8icaw","1","34","34.000000000"
"8icb3","1","2","2.000000000"
"8icb9","1","4","4.000000000"
"8icbb","1","36","36.000000000"
"8iccd","1","163","163.000000000"
"8iccn","1","56","56.000000000"
"8icd5","1","5","5.000000000"
"8icd9","1","1","1.000000000"
"8icdj","1","7","7.000000000"
"8ice8","1","1039","1039.000000000"
"8icee","1","23","23.000000000"
"8icef","1","140","140.000000000"
"8icfe","1","22257","22257.000000000"
"8icff","1","1456","1456.000000000"
"8icgh","1","3","3.000000000"
"8icgz","1","13","13.000000000"
"8ichd","1","435","435.000000000"
"8ichj","1","16","16.000000000"
"8ichk","1","704","704.000000000"
"8ichw","1","4","4.000000000"
"8icia","1","144","144.000000000"
"8icim","1","16","16.000000000"
"8icin","1","3775","3775.000000000"
"8icix","1","22","22.000000000"
"8icj3","1","65","65.000000000"
"8icp7","1","499","499.000000000"
"8icq7","1","7","7.000000000"
"8icro","1","3","3.000000000"
"8icsp","1","2","2.000000000"
"8ictc","1","18","18.000000000"
"8ictz","1","370","370.000000000"
"8icu8","1","151","151.000000000"
"8icu9","1","7","7.000000000"
"8icuy","1","130","130.000000000"
"8icv3","1","1","1.000000000"
"8icvc","1","26","26.000000000"
"8icwe","1","860","860.000000000"
"8icx6","1","1","1.000000000"
"8icxc","1","48","48.000000000"
"8icxd","1","2","2.000000000"
"8icxf","1","37","37.000000000"
"8icxl","1","55","55.000000000"
"8icyp","1","1","1.000000000"
"8icyy","1","8","8.000000000"
"8icz2","1","326","326.000000000"
"8iczh","1","944","944.000000000"
"8id02","1","2087","2087.000000000"
"8id03","1","137","137.000000000"
"8id0o","1","1","1.000000000"
"8id0y","1","16","16.000000000"
"8id0z","1","37","37.000000000"
"8id1a","1","7","7.000000000"
"8id2w","1","8","8.000000000"
"8id2z","1","61","61.000000000"
"8id38","1","861","861.000000000"
"8id48","1","897","897.000000000"
"8id57","1","332","332.000000000"
"8id5b","1","1","1.000000000"
"8id5p","1","25","25.000000000"
"8id6g","1","872","872.000000000"
"8id6y","1","100","100.000000000"
"8id6z","1","12","12.000000000"
"8id7o","1","103","103.000000000"
"8id7z","1","2","2.000000000"
"8id89","1","1","1.000000000"
"8id8o","1","1","1.000000000"
"8id9y","1","39","39.000000000"
"8ida1","1","1747","1747.000000000"
"8idbg","1","2","2.000000000"
"8idbx","1","19","19.000000000"
"8idc4","1","25","25.000000000"
"8iddj","1","61","61.000000000"
"8iddv","1","3","3.000000000"
"8iddw","1","12","12.000000000"
"8ide1","1","15","15.000000000"
"8idem","1","9","9.000000000"
"8idf6","1","1","1.000000000"
"8idfl","1","3","3.000000000"
"8idgy","1","1","1.000000000"
"8idgz","1","1","1.000000000"
"8idh3","1","2","2.000000000"
"8idhm","1","1820","1820.000000000"
"8idhn","1","225","225.000000000"
"8idhp","1","435","435.000000000"
"8idhs","1","17","17.000000000"
"8idhw","1","1","1.000000000"
"8idhx","1","3","3.000000000"
"8idhz","1","2","2.000000000"
"8idi0","1","6","6.000000000"
"8idi1","1","28","28.000000000"
"8idi4","1","10","10.000000000"
"8idi5","1","116","116.000000000"
"8idi7","1","68","68.000000000"
"8idit","1","294","294.000000000"
"8idiz","1","1","1.000000000"
"8idmr","1","3","3.000000000"
"8idn9","1","13","13.000000000"
"8idnv","1","4","4.000000000"
"8idny","1","8","8.000000000"
"8ido2","1","259","259.000000000"
"8ido9","1","1","1.000000000"
"8idoa","1","43","43.000000000"
"8idob","1","6","6.000000000"
"8idoc","1","15","15.000000000"
"8idou","1","15","15.000000000"
"8idpt","1","3","3.000000000"
"8ie5k","1","6","6.000000000"
"8ie7p","1","4","4.000000000"
"8ie98","1","33","33.000000000"
"8ie9s","1","9","9.000000000"
"8ie9w","1","1","1.000000000"
"8iea1","1","14","14.000000000"
"8ieaq","1","70","70.000000000"
"8ieaz","1","174","174.000000000"
"8ieb4","1","11","11.000000000"
"8iebt","1","1","1.000000000"
"8iebx","1","7","7.000000000"
"8ieeu","1","1","1.000000000"
"8ief6","1","7","7.000000000"
"8iefb","1","152","152.000000000"
"8iefl","1","592","592.000000000"
"8iefs","1","10","10.000000000"
"8ieg2","1","122","122.000000000"
"8iegi","1","48","48.000000000"
"8ieh3","1","7","7.000000000"
"8iehk","1","19","19.000000000"
"8ieht","1","36258","36258.000000000"
"8iejt","1","2","2.000000000"
"8ieky","1","11","11.000000000"
"8iel9","1","513","513.000000000"
"8ielh","1","1","1.000000000"
"8iem5","1","24","24.000000000"
"8iemd","1","2","2.000000000"
"8ien9","1","7","7.000000000"
"8iend","1","3","3.000000000"
"8ieo7","1","3","3.000000000"
"8ieol","1","24","24.000000000"
"8iepn","1","3","3.000000000"
"8ieqn","1","5","5.000000000"
"8ies6","1","11","11.000000000"
"8ies8","1","586","586.000000000"
"8iet9","1","10006","10006.000000000"
"8ietw","1","4","4.000000000"
"8ieuh","1","1","1.000000000"
"8iev9","1","2","2.000000000"
"8ievj","1","51","51.000000000"
"8ievt","1","10","10.000000000"
"8iewb","1","4","4.000000000"
"8iex1","1","25","25.000000000"
"8iex9","1","2630","2630.000000000"
