partnerid,MaxSameIpCount,NoOfUniqueIp,IpClickRatio,IpVariance,MaxSameAgentCount,NoOfUniqueAgent,AgentClickRatio,AgentVariance,MaxSameCidCount,NoOfUniqueCid,CidClickRatio,CidVariance,MaxSameCntrCount,NoOfUniqueCntr,CntrClickRatio,CntrVariance,TotalClicks,NoOfUniqueReferer,RefererClickRatio,NonRefererClickRatio,AvgClickPer1Min,AvgClickPer5Min,AvgClickPer3Hr,AvgClickPer6Hr,MaxClickPer1Min,MaxClickPer5Min,MaxClickPer3Hr,MaxClickPer6Hr,TimeatVariance1Min,TimeatVariance5Min,TimeatVariance3Hr,TimeatVariance6Hr,Skew1Min,Skew5Min,Skew3Hr,Skew6Hr,EntropyIplong,EntropyCid,EntropyAgent,EntropyCntr,CategoryPrior,status
8i7uk,32,49,0.53,19.48,7,57,0.61,1.46,5,60,0.65,1.01,23,30,0.32,18.82,93,35,0.38,0.62,1.12,1.21,4.04,7.15,7,7,13,20,0.47,0.55,7.95,27.36,7.76,6.25,1.46,1.12,4.48,5.67,5.55,4.11,93,OK
8i7ux,149,76,0.31,283.73,52,93,0.38,30.96,23,78,0.32,21.9,96,19,0.08,717.73,246,105,0.43,0.57,1.09,1.34,9.84,18.92,4,5,40,46,0.11,0.4,84.77,148.84,4.72,2.15,2.13,1.25,3.36,5.35,5.53,2.45,246,OK
8i7va,2,7,0.88,0.12,1,8,1,0,1,8,1,0,5,4,0.5,3,8,4,0.5,0.5,1,1,1,1.14,1,1,1,2,0,0,0,0.12,0,0,0,2.04,2.75,3,3,1.55,8,OK
8i7vb,2,8,0.73,0.23,2,8,0.73,0.23,2,10,0.91,0.09,8,3,0.27,9.56,11,4,0.36,0.64,1.1,1.1,1.83,2.2,2,2,3,4,0.09,0.09,0.47,0.96,2.67,2.67,0.23,0.87,2.91,3.28,2.91,1.1,11,OK
8i7vf,2,1,0.5,0,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,OK
8i7vp,1307,377,0.09,4881.5,386,416,0.1,1185.01,275,130,0.03,3767.23,2912,29,0.01,299696.52,4001,1818,0.45,0.55,3.8,10.26,250.06,444.56,28,94,1531,1661,23.66,345.67,206927.68,360808.47,2.07,2.71,2.2,1.28,5.61,5.09,6.36,1.23,4001,OK
8i7vq,1289,305,0.16,5423.3,299,351,0.18,376.11,167,170,0.09,602.71,933,49,0.03,20381.07,1922,1054,0.55,0.45,1.45,3.33,76.88,147.85,6,14,204,282,0.61,6.32,3620.67,11055.98,2.15,1.35,0.45,-0.16,3.37,5.68,6.58,2.62,1922,OK
8i7vz,115,179,0.55,72.29,19,131,0.4,9.73,30,116,0.36,19.51,158,27,0.08,1237.56,324,75,0.23,0.77,1.1,1.39,12.96,24.92,4,8,57,76,0.14,0.75,201.48,512.53,4.27,3.57,2.29,1.29,5.69,6.01,6.35,2.19,324,OK
8i7w2,19,40,0.34,12.54,33,41,0.35,27.17,22,43,0.37,12.02,92,9,0.08,787.43,116,43,0.37,0.63,1.08,1.27,5.27,8.92,3,6,15,27,0.1,0.57,17.02,61.3,3.9,3.91,1.14,1.03,4.65,4.76,4.31,1.28,116,OK
8i7wb,111,125,0.46,96.06,18,118,0.44,5.83,12,131,0.49,4.07,93,30,0.11,395.3,269,133,0.49,0.51,1.1,1.35,10.76,20.69,7,10,29,46,0.24,0.74,51.78,162.52,8.21,5.69,1.1,0.65,4.97,6.57,6.37,3.19,269,OK
8i7wi,440,783,0.52,248.08,116,158,0.11,335.78,1288,107,0.07,15313.31,1289,23,0.02,68388.39,1502,403,0.27,0.73,1.23,2.25,62.58,125.17,4,9,116,161,0.26,1.77,439.83,1038.14,2.41,1.36,0.44,-0.58,7.39,1.51,5.91,1.02,1502,OK
8i7wr,156,820,0.61,40.87,212,117,0.09,903.32,298,53,0.04,2217.8,1344,4,0,337349.5,1352,533,0.39,0.61,1.22,2.18,54.08,104,4,10,151,265,0.25,2.49,1253.35,4544.77,2.44,1.91,1.24,1,8.39,4.3,4.92,0.06,1352,OK
